見出し,読み,原型,品詞,品詞細分類,意味情報,大見出し,中見出し,小見出し,見出し番号,文番号
、,、,、,特殊,読点,NIL,１マントにんぎょうのまき,,,0,8
林,はやし,林,名詞,人名,人名:日本:姓:21:0.00419,１マントにんぎょうのまき,,,0,8
さん,さん,さん,接尾辞,名詞性名詞接尾辞,代表表記:さん/さん,１マントにんぎょうのまき,,,0,8
は,は,は,助詞,副助詞,NIL,１マントにんぎょうのまき,,,0,8
、,、,、,特殊,読点,NIL,１マントにんぎょうのまき,,,0,8
たけし,たけし,たけし,名詞,人名,人名:日本:名:974:0.00018,１マントにんぎょうのまき,,,0,8
くん,くん,くん,接尾辞,名詞性名詞接尾辞,代表表記:君/くん,１マントにんぎょうのまき,,,0,8
の,の,の,助詞,接続助詞,NIL,１マントにんぎょうのまき,,,0,8
お,お,お,接頭辞,名詞接頭辞,代表表記:御/お,１マントにんぎょうのまき,,,0,8
うち,うち,うち,名詞,普通名詞,代表表記:内/うち カテゴリ:場所-機能;抽象物 漢字読み:訓,１マントにんぎょうのまき,,,0,8
へ,へ,へ,助詞,格助詞,NIL,１マントにんぎょうのまき,,,0,8
よく,よく,よく,副詞,*,代表表記:良く/よく,１マントにんぎょうのまき,,,0,8
あそび,あそび,あそぶ,動詞,*,代表表記:遊ぶ/あそぶ ドメイン:レクリエーション,１マントにんぎょうのまき,,,0,8
に,に,に,助詞,格助詞,NIL,１マントにんぎょうのまき,,,0,8
き,き,くる,動詞,*,代表表記:来る/くる 反義:動詞:帰る/かえる,１マントにんぎょうのまき,,,0,8
ました,ました,ます,接尾辞,動詞性接尾辞,代表表記:ます/ます,１マントにんぎょうのまき,,,0,8
。,。,。,特殊,句点,NIL,１マントにんぎょうのまき,,,0,8
お,お,お,接頭辞,名詞接頭辞,代表表記:御/お,１マントにんぎょうのまき,,,0,9
とうさん,とうさん,とうさん,名詞,サ変名詞,代表表記:倒産/とうさん ドメイン:ビジネス カテゴリ:抽象物,１マントにんぎょうのまき,,,0,9
は,は,は,助詞,副助詞,NIL,１マントにんぎょうのまき,,,0,9
たけし,たけし,たけし,名詞,人名,人名:日本:名:974:0.00018,１マントにんぎょうのまき,,,0,9
くん,くん,くん,接尾辞,名詞性名詞接尾辞,代表表記:君/くん,１マントにんぎょうのまき,,,0,9
と,と,と,助詞,格助詞,NIL,１マントにんぎょうのまき,,,0,9
、,、,、,特殊,読点,NIL,１マントにんぎょうのまき,,,0,9
いもうと,いもうと,いもうと,名詞,普通名詞,代表表記:妹/いもうと ドメイン:家庭・暮らし カテゴリ:人 漢字読み:訓,１マントにんぎょうのまき,,,0,9
の,の,の,助詞,接続助詞,NIL,１マントにんぎょうのまき,,,0,9
しょうがっこう,しょうがっこう,しょうがっこう,名詞,普通名詞,代表表記:小学校/しょうがっこう ドメイン:教育・学習 カテゴリ:場所-施設 組織名末尾,１マントにんぎょうのまき,,,0,9
一ねん,いちねん,一ねん,名詞,普通名詞,代表表記:一念/いちねん カテゴリ:抽象物,１マントにんぎょうのまき,,,0,9
生,せい,生,名詞,普通名詞,代表表記:生/せい カテゴリ:抽象物 漢字読み:音,１マントにんぎょうのまき,,,0,9
の,の,の,助詞,接続助詞,NIL,１マントにんぎょうのまき,,,0,9
きみ子,きみ子,きみ子,名詞,人名,自動獲得:Wikipedia 読み不明 Wikipedia人名 Wikipedia名,１マントにんぎょうのまき,,,0,9
ちゃん,ちゃん,ちゃん,接尾辞,名詞性名詞接尾辞,代表表記:ちゃん/ちゃん,１マントにんぎょうのまき,,,0,9
