見出し,読み,原型,品詞,品詞細分類,意味情報,大見出し,中見出し,小見出し,見出し番号,文番号
は,は,は,助詞,副助詞,NIL,,,,0,78
大かた,おおかた,大かた,副詞,*,代表表記:大方/おおかた 数量修飾,,,,0,78
想像,そうぞう,想像,名詞,サ変名詞,代表表記:想像/そうぞう カテゴリ:抽象物 補文ト,,,,0,78
なすった,なすった,なする,動詞,*,代表表記:擦る/なする,,,,0,78
でしょう,でしょう,だろう,助動詞,*,NIL,,,,0,78
が,が,が,助詞,接続助詞,NIL,,,,0,78
、,、,、,特殊,読点,NIL,,,,0,78
これ,これ,これ,指示詞,名詞形態指示詞,NIL,,,,0,78
は,は,は,助詞,副助詞,NIL,,,,0,78
つまり,つまり,つまり,副詞,*,代表表記:つまり/つまり,,,,0,78
実物,じつぶつ,実物,名詞,普通名詞,代表表記:実物/じつぶつ カテゴリ:人工物-その他,,,,0,78
幻灯,げんとう,幻灯,名詞,普通名詞,代表表記:幻灯/げんとう カテゴリ:人工物-その他,,,,0,78
……,……,……,特殊,記号,NIL,,,,0,78
鏡,かがみ,鏡,名詞,普通名詞,代表表記:鏡/かがみ ドメイン:家庭・暮らし カテゴリ:人工物-その他 漢字読み:訓,,,,0,78
と,と,と,助詞,格助詞,NIL,,,,0,78
レンズ,れんず,レンズ,名詞,普通名詞,代表表記:レンズ/れんず カテゴリ:人工物-その他,,,,0,78
と,と,と,助詞,格助詞,NIL,,,,0,78
強烈な,きょうれつな,強烈だ,形容詞,*,代表表記:強烈だ/きょうれつだ,,,,0,78
光,ひかり,光,名詞,普通名詞,代表表記:光/ひかり カテゴリ:抽象物 漢字読み:訓,,,,0,78
の,の,の,助詞,接続助詞,NIL,,,,0,78
作用,さよう,作用,名詞,サ変名詞,代表表記:作用/さよう カテゴリ:抽象物,,,,0,78
に,に,に,助詞,格助詞,NIL,,,,0,78
よって,よって,よる,動詞,*,代表表記:因る/よる,,,,0,78
、,、,、,特殊,読点,NIL,,,,0,78
実物,じつぶつ,実物,名詞,普通名詞,代表表記:実物/じつぶつ カテゴリ:人工物-その他,,,,0,78
そのまま,そのまま,そのまま,副詞,*,代表表記:そのまま/そのまま 〜を〜に構成語 修飾（ニ格） 修飾（デ格） 数量修飾,,,,0,78
を,を,を,助詞,格助詞,NIL,,,,0,78
幻灯,げんとう,幻灯,名詞,普通名詞,代表表記:幻灯/げんとう カテゴリ:人工物-その他,,,,0,78
に,に,に,助詞,格助詞,NIL,,,,0,78
写す,うつす,写す,動詞,*,代表表記:写す/うつす 自他動詞:自:写る/うつる,,,,0,78
、,、,、,特殊,読点,NIL,,,,0,78
子供,こども,子供,名詞,普通名詞,代表表記:子供/こども カテゴリ:人,,,,0,78
の,の,の,助詞,接続助詞,NIL,,,,0,78
おもちゃ,おもちゃ,おもちゃ,名詞,普通名詞,代表表記:おもちゃ/おもちゃ ドメイン:レクリエーション;家庭・暮らし カテゴリ:人工物-その他,,,,0,78
に,に,に,助詞,格助詞,NIL,,,,0,78
も,も,も,助詞,副助詞,NIL,,,,0,78
