単語a,単語aの品詞,単語b,単語bの品詞,共起頻度,単語aの出現頻度,単語bの出現頻度,単語aと単語bの和集合,Jaccard係数,Dice係数,Simpson係数,相互情報量
怪人二十面相,固有名詞,機関,名詞,1,543,2,544,0.001838235294117647,0.003669724770642202,0.5,3.5756332624048115
怪人二十面相,固有名詞,通告,名詞,1,543,1,543,0.001841620626151013,0.003676470588235294,1.0,4.5756332624048115
怪人二十面相,固有名詞,襲撃,名詞,1,543,3,545,0.001834862385321101,0.003663003663003663,0.3333333333333333,2.9906707616836554
ひしゃ,名詞,怪人二十面相,固有名詞,1,1,543,543,0.001841620626151013,0.003676470588235294,1.0,4.5756332624048115
はたらき,名詞,怪人二十面相,固有名詞,1,4,543,546,0.0018315018315018315,0.003656307129798903,0.25,2.5756332624048115
きみの,名詞,怪人二十面相,固有名詞,1,11,543,553,0.0018083182640144665,0.0036101083032490976,0.09090909090909091,1.1162016437675142
怪人二十面相,固有名詞,涙,名詞,1,543,6,548,0.0018248175182481751,0.0036429872495446266,0.16666666666666666,1.9906707616836554
団員,名詞,怪人二十面相,固有名詞,1,1,543,543,0.001841620626151013,0.003676470588235294,1.0,4.5756332624048115
怪人二十面相,固有名詞,証明,名詞,1,543,1,543,0.001841620626151013,0.003676470588235294,1.0,4.5756332624048115
先輩,名詞,怪人二十面相,固有名詞,1,1,543,543,0.001841620626151013,0.003676470588235294,1.0,4.5756332624048115
げた,名詞,怪人二十面相,固有名詞,1,1,543,543,0.001841620626151013,0.003676470588235294,1.0,4.5756332624048115
怪人二十面相,固有名詞,調べ,名詞,1,543,2,544,0.001838235294117647,0.003669724770642202,0.5,3.5756332624048115
年下,名詞,怪人二十面相,固有名詞,1,1,543,543,0.001841620626151013,0.003676470588235294,1.0,4.5756332624048115
廃屋,名詞,怪人二十面相,固有名詞,1,2,543,544,0.001838235294117647,0.003669724770642202,0.5,3.5756332624048115
夜中,名詞,怪人二十面相,固有名詞,1,3,543,545,0.001834862385321101,0.003663003663003663,0.3333333333333333,2.9906707616836554
取り調べ,名詞,怪人二十面相,固有名詞,1,1,543,543,0.001841620626151013,0.003676470588235294,1.0,4.5756332624048115
弁護,名詞,怪人二十面相,固有名詞,1,1,543,543,0.001841620626151013,0.003676470588235294,1.0,4.5756332624048115
ことがら,名詞,怪人二十面相,固有名詞,1,1,543,543,0.001841620626151013,0.003676470588235294,1.0,4.5756332624048115
とりこわし,名詞,怪人二十面相,固有名詞,1,4,543,546,0.0018315018315018315,0.003656307129798903,0.25,2.5756332624048115
万端,名詞,怪人二十面相,固有名詞,1,1,543,543,0.001841620626151013,0.003676470588235294,1.0,4.5756332624048115
おとな,名詞,怪人二十面相,固有名詞,1,7,543,549,0.0018214936247723133,0.0036363636363636364,0.14285714285714285,1.7682783403472073
応接,名詞,怪人二十面相,固有名詞,1,4,543,546,0.0018315018315018315,0.003656307129798903,0.25,2.5756332624048115
学者,名詞,怪人二十面相,固有名詞,1,2,543,544,0.001838235294117647,0.003669724770642202,0.5,3.5756332624048115
屋,名詞,怪人二十面相,固有名詞,1,7,543,549,0.0018214936247723133,0.0036363636363636364,0.14285714285714285,1.7682783403472073
史,名詞,怪人二十面相,固有名詞,1,1,543,543,0.001841620626151013,0.003676470588235294,1.0,4.5756332624048115
厚,名詞,怪人二十面相,固有名詞,1,1,543,543,0.001841620626151013,0.003676470588235294,1.0,4.5756332624048115
学界,名詞,怪人二十面相,固有名詞,1,1,543,543,0.001841620626151013,0.003676470588235294,1.0,4.5756332624048115
怪人二十面相,固有名詞,課長,名詞,1,543,1,543,0.001841620626151013,0.003676470588235294,1.0,4.5756332624048115
ぼたい,名詞,怪人二十面相,固有名詞,1,1,543,543,0.001841620626151013,0.003676470588235294,1.0,4.5756332624048115
怪人二十面相,固有名詞,紹介,名詞,1,543,4,546,0.0018315018315018315,0.003656307129798903,0.25,2.5756332624048115
ゆるし,名詞,怪人二十面相,固有名詞,1,2,543,544,0.001838235294117647,0.003669724770642202,0.5,3.5756332624048115
住み,名詞,怪人二十面相,固有名詞,1,1,543,543,0.001841620626151013,0.003676470588235294,1.0,4.5756332624048115
実業,名詞,怪人二十面相,固有名詞,1,3,543,545,0.001834862385321101,0.003663003663003663,0.3333333333333333,2.9906707616836554
一縷,名詞,怪人二十面相,固有名詞,1,1,543,543,0.001841620626151013,0.003676470588235294,1.0,4.5756332624048115
怪人二十面相,固有名詞,望み,名詞,1,543,1,543,0.001841620626151013,0.003676470588235294,1.0,4.5756332624048115
怪人二十面相,固有名詞,表通り,名詞,1,543,1,543,0.001841620626151013,0.003676470588235294,1.0,4.5756332624048115
怪人二十面相,固有名詞,目的,名詞,1,543,4,546,0.0018315018315018315,0.003656307129798903,0.25,2.5756332624048115
上気,名詞,怪人二十面相,固有名詞,1,2,543,544,0.001838235294117647,0.003669724770642202,0.5,3.5756332624048115
叫び声,名詞,怪人二十面相,固有名詞,1,1,543,543,0.001841620626151013,0.003676470588235294,1.0,4.5756332624048115
怪人二十面相,固有名詞,自宅,名詞,1,543,7,549,0.0018214936247723133,0.0036363636363636364,0.14285714285714285,1.7682783403472073
明智探偵,固有名詞,解決,名詞,1,362,1,362,0.0027624309392265192,0.005509641873278237,1.0,5.160595763125968
とう,名詞,明智探偵,固有名詞,1,13,362,374,0.00267379679144385,0.005333333333333333,0.07692307692307693,1.4601560449848756
中間,名詞,怪人二十面相,固有名詞,1,1,543,543,0.001841620626151013,0.003676470588235294,1.0,4.5756332624048115
伝書,名詞,怪人二十面相,固有名詞,1,4,543,546,0.0018315018315018315,0.003656307129798903,0.25,2.5756332624048115
ハンカチ,名詞,怪人二十面相,固有名詞,1,8,543,550,0.0018181818181818182,0.003629764065335753,0.125,1.5756332624048117
明智探偵,固有名詞,足先,名詞,1,362,3,364,0.0027472527472527475,0.005479452054794521,0.3333333333333333,3.5756332624048115
ラジオ,名詞,怪人二十面相,固有名詞,1,6,543,548,0.0018248175182481751,0.0036429872495446266,0.16666666666666666,1.9906707616836554
おととい,名詞,怪人二十面相,固有名詞,1,4,543,546,0.0018315018315018315,0.003656307129798903,0.25,2.5756332624048115
怪人二十面相,固有名詞,所有,名詞,1,543,3,545,0.001834862385321101,0.003663003663003663,0.3333333333333333,2.9906707616836554
怪人二十面相,固有名詞,悪人,名詞,1,543,2,544,0.001838235294117647,0.003669724770642202,0.5,3.5756332624048115
あまた,名詞,怪人二十面相,固有名詞,1,1,543,543,0.001841620626151013,0.003676470588235294,1.0,4.5756332624048115
怪人二十面相,固有名詞,薬,名詞,1,543,5,547,0.0018281535648994515,0.0036496350364963502,0.2,2.2537051675174493
怪人二十面相,固有名詞,方々,名詞,1,543,1,543,0.001841620626151013,0.003676470588235294,1.0,4.5756332624048115
わかり,名詞,怪人二十面相,固有名詞,1,4,543,546,0.0018315018315018315,0.003656307129798903,0.25,2.5756332624048115
怪人二十面相,固有名詞,正真正銘,名詞,1,543,2,544,0.001838235294117647,0.003669724770642202,0.5,3.5756332624048115
怪人二十面相,固有名詞,無言,名詞,1,543,4,546,0.0018315018315018315,0.003656307129798903,0.25,2.5756332624048115
なぐさめ,名詞,怪人二十面相,固有名詞,1,1,543,543,0.001841620626151013,0.003676470588235294,1.0,4.5756332624048115
怪人二十面相,固有名詞,捜索,名詞,1,543,8,550,0.0018181818181818182,0.003629764065335753,0.125,1.5756332624048117
怪人二十面相,固有名詞,手ぎわ,名詞,1,543,1,543,0.001841620626151013,0.003676470588235294,1.0,4.5756332624048115
怪人二十面相,固有名詞,捕縄,名詞,1,543,2,544,0.001838235294117647,0.003669724770642202,0.5,3.5756332624048115
怪人二十面相,固有名詞,手がら,名詞,1,543,9,551,0.0018148820326678765,0.0036231884057971015,0.1111111111111111,1.4057082609624991
ふところ,名詞,怪人二十面相,固有名詞,1,4,543,546,0.0018315018315018315,0.003656307129798903,0.25,2.5756332624048115
怪人二十面相,固有名詞,釣りざお,名詞,1,543,5,547,0.0018281535648994515,0.0036496350364963502,0.2,2.2537051675174493
待ち,名詞,怪人二十面相,固有名詞,1,1,543,543,0.001841620626151013,0.003676470588235294,1.0,4.5756332624048115
怪人二十面相,固有名詞,血,名詞,1,543,4,546,0.0018315018315018315,0.003656307129798903,0.25,2.5756332624048115
個所,名詞,怪人二十面相,固有名詞,1,2,543,544,0.001838235294117647,0.003669724770642202,0.5,3.5756332624048115
下降,名詞,怪人二十面相,固有名詞,1,2,543,544,0.001838235294117647,0.003669724770642202,0.5,3.5756332624048115
一興,名詞,怪人二十面相,固有名詞,1,1,543,543,0.001841620626151013,0.003676470588235294,1.0,4.5756332624048115
怪人二十面相,固有名詞,程度,名詞,1,543,1,543,0.001841620626151013,0.003676470588235294,1.0,4.5756332624048115
失望,名詞,怪人二十面相,固有名詞,1,4,543,546,0.0018315018315018315,0.003656307129798903,0.25,2.5756332624048115
怪人二十面相,固有名詞,調子,名詞,1,543,1,543,0.001841620626151013,0.003676470588235294,1.0,4.5756332624048115
怪人二十面相,固有名詞,野獣,名詞,1,543,1,543,0.001841620626151013,0.003676470588235294,1.0,4.5756332624048115
怪人二十面相,固有名詞,真意,名詞,1,543,1,543,0.001841620626151013,0.003676470588235294,1.0,4.5756332624048115
制服,名詞,怪人二十面相,固有名詞,1,5,543,547,0.0018281535648994515,0.0036496350364963502,0.2,2.2537051675174493
けんまく,名詞,怪人二十面相,固有名詞,1,4,543,546,0.0018315018315018315,0.003656307129798903,0.25,2.5756332624048115
報道,名詞,怪人二十面相,固有名詞,1,2,543,544,0.001838235294117647,0.003669724770642202,0.5,3.5756332624048115
怪人二十面相,固有名詞,見物,名詞,1,543,2,544,0.001838235294117647,0.003669724770642202,0.5,3.5756332624048115
さからい,名詞,怪人二十面相,固有名詞,1,1,543,543,0.001841620626151013,0.003676470588235294,1.0,4.5756332624048115
ぜんたい,名詞,怪人二十面相,固有名詞,1,3,543,545,0.001834862385321101,0.003663003663003663,0.3333333333333333,2.9906707616836554
はず,名詞,怪人二十面相,固有名詞,1,17,543,559,0.0017889087656529517,0.0035714285714285713,0.058823529411764705,0.48817042115447223
占領,名詞,怪人二十面相,固有名詞,1,1,543,543,0.001841620626151013,0.003676470588235294,1.0,4.5756332624048115
おかげ,名詞,怪人二十面相,固有名詞,1,3,543,545,0.001834862385321101,0.003663003663003663,0.3333333333333333,2.9906707616836554
怪人二十面相,固有名詞,行列,名詞,1,543,1,543,0.001841620626151013,0.003676470588235294,1.0,4.5756332624048115
いっせつ,名詞,怪人二十面相,固有名詞,1,1,543,543,0.001841620626151013,0.003676470588235294,1.0,4.5756332624048115
明智探偵,固有名詞,活動,名詞,1,362,1,362,0.0027624309392265192,0.005509641873278237,1.0,5.160595763125968
怪人二十面相,固有名詞,酒,名詞,1,543,3,545,0.001834862385321101,0.003663003663003663,0.3333333333333333,2.9906707616836554
怪人二十面相,固有名詞,署,名詞,1,543,6,548,0.0018248175182481751,0.0036429872495446266,0.16666666666666666,1.9906707616836554
宿直,名詞,怪人二十面相,固有名詞,1,7,543,549,0.0018214936247723133,0.0036363636363636364,0.14285714285714285,1.7682783403472073
怪人二十面相,固有名詞,矢,名詞,1,543,4,546,0.0018315018315018315,0.003656307129798903,0.25,2.5756332624048115
小僧,名詞,怪人二十面相,固有名詞,1,3,543,545,0.001834862385321101,0.003663003663003663,0.3333333333333333,2.9906707616836554
心,名詞,怪人二十面相,固有名詞,1,12,543,554,0.0018050541516245488,0.0036036036036036037,0.08333333333333333,0.9906707616836553
明智探偵,固有名詞,見もの,名詞,1,362,1,362,0.0027624309392265192,0.005509641873278237,1.0,5.160595763125968
リス,名詞,明智探偵,固有名詞,1,1,362,362,0.0027624309392265192,0.005509641873278237,1.0,5.160595763125968
怪人二十面相,固有名詞,服装,名詞,1,543,6,548,0.0018248175182481751,0.0036429872495446266,0.16666666666666666,1.9906707616836554
図,名詞,怪人二十面相,固有名詞,1,1,543,543,0.001841620626151013,0.003676470588235294,1.0,4.5756332624048115
怪人二十面相,固有名詞,悪,名詞,1,543,1,543,0.001841620626151013,0.003676470588235294,1.0,4.5756332624048115
ウン,名詞,明智探偵,固有名詞,1,11,362,372,0.002688172043010753,0.005361930294906166,0.09090909090909091,1.7011641444886705
バト,名詞,怪人二十面相,固有名詞,1,4,543,546,0.0018315018315018315,0.003656307129798903,0.25,2.5756332624048115
しらん,名詞,明智探偵,固有名詞,1,1,362,362,0.0027624309392265192,0.005509641873278237,1.0,5.160595763125968
個人,名詞,明智探偵,固有名詞,1,3,362,364,0.0027472527472527475,0.005479452054794521,0.3333333333333333,3.5756332624048115
口ぶり,名詞,怪人二十面相,固有名詞,1,1,543,543,0.001841620626151013,0.003676470588235294,1.0,4.5756332624048115
怪人二十面相,固有名詞,薬品,名詞,1,543,1,543,0.001841620626151013,0.003676470588235294,1.0,4.5756332624048115
仲間,名詞,怪人二十面相,固有名詞,1,5,543,547,0.0018281535648994515,0.0036496350364963502,0.2,2.2537051675174493
怪人二十面相,固有名詞,満身,名詞,1,543,1,543,0.001841620626151013,0.003676470588235294,1.0,4.5756332624048115
怪人二十面相,固有名詞,殺到,名詞,1,543,1,543,0.001841620626151013,0.003676470588235294,1.0,4.5756332624048115
事情,名詞,怪人二十面相,固有名詞,1,2,543,544,0.001838235294117647,0.003669724770642202,0.5,3.5756332624048115
ふり,名詞,怪人二十面相,固有名詞,1,3,543,545,0.001834862385321101,0.003663003663003663,0.3333333333333333,2.9906707616836554
保管,名詞,怪人二十面相,固有名詞,1,2,543,544,0.001838235294117647,0.003669724770642202,0.5,3.5756332624048115
剤,名詞,怪人二十面相,固有名詞,1,5,543,547,0.0018281535648994515,0.0036496350364963502,0.2,2.2537051675174493
おきかえ,名詞,怪人二十面相,固有名詞,1,2,543,544,0.001838235294117647,0.003669724770642202,0.5,3.5756332624048115
怪人二十面相,固有名詞,番,名詞,1,543,10,552,0.0018115942028985507,0.003616636528028933,0.1,1.2537051675174493
怪人二十面相,固有名詞,造作,名詞,1,543,1,543,0.001841620626151013,0.003676470588235294,1.0,4.5756332624048115
奥,名詞,怪人二十面相,固有名詞,1,9,543,551,0.0018148820326678765,0.0036231884057971015,0.1111111111111111,1.4057082609624991
怪人二十面相,固有名詞,手つだい,名詞,1,543,1,543,0.001841620626151013,0.003676470588235294,1.0,4.5756332624048115
怪人二十面相,固有名詞,手首,名詞,1,543,4,546,0.0018315018315018315,0.003656307129798903,0.25,2.5756332624048115
怪人二十面相,固有名詞,盗,名詞,1,543,1,543,0.001841620626151013,0.003676470588235294,1.0,4.5756332624048115
怪人二十面相,固有名詞,説明,名詞,1,543,11,553,0.0018083182640144665,0.0036101083032490976,0.09090909090909091,1.1162016437675142
奪,名詞,怪人二十面相,固有名詞,1,1,543,543,0.001841620626151013,0.003676470588235294,1.0,4.5756332624048115
怪人二十面相,固有名詞,順序,名詞,1,543,2,544,0.001838235294117647,0.003669724770642202,0.5,3.5756332624048115
なだれ,名詞,怪人二十面相,固有名詞,1,1,543,543,0.001841620626151013,0.003676470588235294,1.0,4.5756332624048115
味方,名詞,怪人二十面相,固有名詞,1,6,543,548,0.0018248175182481751,0.0036429872495446266,0.16666666666666666,1.9906707616836554
人間,名詞,明智探偵,固有名詞,1,18,362,379,0.002638522427440633,0.005263157894736842,0.05555555555555555,0.9906707616836553
さるぐつわ,名詞,怪人二十面相,固有名詞,1,6,543,548,0.0018248175182481751,0.0036429872495446266,0.16666666666666666,1.9906707616836554
お返し,名詞,怪人二十面相,固有名詞,1,1,543,543,0.001841620626151013,0.003676470588235294,1.0,4.5756332624048115
おばさん,名詞,明智探偵,固有名詞,1,2,362,363,0.0027548209366391185,0.005494505494505495,0.5,4.160595763125968
明智探偵,固有名詞,機関,名詞,1,362,2,363,0.0027548209366391185,0.005494505494505495,0.5,4.160595763125968
怪人二十面相,固有名詞,鉛筆,名詞,1,543,2,544,0.001838235294117647,0.003669724770642202,0.5,3.5756332624048115
以前,名詞,怪人二十面相,固有名詞,1,5,543,547,0.0018281535648994515,0.0036496350364963502,0.2,2.2537051675174493
怪人二十面相,固有名詞,望遠,名詞,1,543,3,545,0.001834862385321101,0.003663003663003663,0.3333333333333333,2.9906707616836554
明智探偵,固有名詞,犯罪,名詞,1,362,2,363,0.0027548209366391185,0.005494505494505495,0.5,4.160595763125968
明智探偵,固有名詞,本望,名詞,1,362,1,362,0.0027624309392265192,0.005509641873278237,1.0,5.160595763125968
ピッポ,名詞,怪人二十面相,固有名詞,1,19,543,561,0.0017825311942959,0.0035587188612099642,0.05263157894736842,0.32770574896122595
明智探偵,固有名詞,近藤,名詞,1,362,18,379,0.002638522427440633,0.005263157894736842,0.05555555555555555,0.9906707616836553
キョロキョロ,名詞,怪人二十面相,固有名詞,1,3,543,545,0.001834862385321101,0.003663003663003663,0.3333333333333333,2.9906707616836554
帳,名詞,明智探偵,固有名詞,1,2,362,363,0.0027548209366391185,0.005494505494505495,0.5,4.160595763125968
怪人二十面相,固有名詞,手の甲,名詞,1,543,1,543,0.001841620626151013,0.003676470588235294,1.0,4.5756332624048115
怪人二十面相,固有名詞,興奮,名詞,1,543,5,547,0.0018281535648994515,0.0036496350364963502,0.2,2.2537051675174493
もん,名詞,明智探偵,固有名詞,1,17,362,378,0.0026455026455026454,0.005277044854881266,0.058823529411764705,1.0731329218756285
位置,名詞,怪人二十面相,固有名詞,1,4,543,546,0.0018315018315018315,0.003656307129798903,0.25,2.5756332624048115
場所,名詞,怪人二十面相,固有名詞,1,8,543,550,0.0018181818181818182,0.003629764065335753,0.125,1.5756332624048117
明智探偵,固有名詞,腕きき,名詞,1,362,3,364,0.0027472527472527475,0.005479452054794521,0.3333333333333333,3.5756332624048115
怪人二十面相,固有名詞,捕縛,名詞,1,543,1,543,0.001841620626151013,0.003676470588235294,1.0,4.5756332624048115
明智探偵,固有名詞,通信,名詞,1,362,2,363,0.0027548209366391185,0.005494505494505495,0.5,4.160595763125968
マスコット,名詞,明智探偵,固有名詞,1,3,362,364,0.0027472527472527475,0.005479452054794521,0.3333333333333333,3.5756332624048115
万年筆,名詞,怪人二十面相,固有名詞,1,4,543,546,0.0018315018315018315,0.003656307129798903,0.25,2.5756332624048115
明智探偵,固有名詞,流,名詞,1,362,1,362,0.0027624309392265192,0.005509641873278237,1.0,5.160595763125968
批評,名詞,明智探偵,固有名詞,1,1,362,362,0.0027624309392265192,0.005509641873278237,1.0,5.160595763125968
念,名詞,明智探偵,固有名詞,1,1,362,362,0.0027624309392265192,0.005509641873278237,1.0,5.160595763125968
明智探偵,固有名詞,錬磨,名詞,1,362,1,362,0.0027624309392265192,0.005509641873278237,1.0,5.160595763125968
つかれ,名詞,明智探偵,固有名詞,1,2,362,363,0.0027548209366391185,0.005494505494505495,0.5,4.160595763125968
旅,名詞,明智探偵,固有名詞,1,2,362,363,0.0027548209366391185,0.005494505494505495,0.5,4.160595763125968
怪人二十面相,固有名詞,置き,名詞,1,543,2,544,0.001838235294117647,0.003669724770642202,0.5,3.5756332624048115
じつ,名詞,明智探偵,固有名詞,1,3,362,364,0.0027472527472527475,0.005479452054794521,0.3333333333333333,3.5756332624048115
会得,名詞,明智探偵,固有名詞,1,1,362,362,0.0027624309392265192,0.005509641873278237,1.0,5.160595763125968
怪人二十面相,固有名詞,磁石,名詞,1,543,3,545,0.001834862385321101,0.003663003663003663,0.3333333333333333,2.9906707616836554
やり,名詞,明智探偵,固有名詞,1,4,362,365,0.0027397260273972603,0.00546448087431694,0.25,3.160595763125968
コンクリート,名詞,怪人二十面相,固有名詞,1,7,543,549,0.0018214936247723133,0.0036363636363636364,0.14285714285714285,1.7682783403472073
怪人二十面相,固有名詞,畳敷き,名詞,1,543,1,543,0.001841620626151013,0.003676470588235294,1.0,4.5756332624048115
弁慶,名詞,明智探偵,固有名詞,1,2,362,363,0.0027548209366391185,0.005494505494505495,0.5,4.160595763125968
役,名詞,明智探偵,固有名詞,1,6,362,367,0.0027247956403269754,0.005434782608695652,0.16666666666666666,2.5756332624048115
ひとまとめ,名詞,明智探偵,固有名詞,1,1,362,362,0.0027624309392265192,0.005509641873278237,1.0,5.160595763125968
明智探偵,固有名詞,武器,名詞,1,362,2,363,0.0027548209366391185,0.005494505494505495,0.5,4.160595763125968
怪人二十面相,固有名詞,熟睡,名詞,1,543,1,543,0.001841620626151013,0.003676470588235294,1.0,4.5756332624048115
広,名詞,怪人二十面相,固有名詞,1,3,543,545,0.001834862385321101,0.003663003663003663,0.3333333333333333,2.9906707616836554
むすび,名詞,怪人二十面相,固有名詞,1,1,543,543,0.001841620626151013,0.003676470588235294,1.0,4.5756332624048115
寝室,名詞,明智探偵,固有名詞,1,2,362,363,0.0027548209366391185,0.005494505494505495,0.5,4.160595763125968
旅館,名詞,明智探偵,固有名詞,1,3,362,364,0.0027472527472527475,0.005479452054794521,0.3333333333333333,3.5756332624048115
投宿,名詞,明智探偵,固有名詞,1,1,362,362,0.0027624309392265192,0.005509641873278237,1.0,5.160595763125968
使命,名詞,明智探偵,固有名詞,1,2,362,363,0.0027548209366391185,0.005494505494505495,0.5,4.160595763125968
感謝,名詞,明智探偵,固有名詞,1,2,362,363,0.0027548209366391185,0.005494505494505495,0.5,4.160595763125968
明智探偵,固有名詞,横,名詞,1,362,4,365,0.0027397260273972603,0.00546448087431694,0.25,3.160595763125968
怪人二十面相,固有名詞,部分,名詞,1,543,2,544,0.001838235294117647,0.003669724770642202,0.5,3.5756332624048115
底,名詞,怪人二十面相,固有名詞,1,3,543,545,0.001834862385321101,0.003663003663003663,0.3333333333333333,2.9906707616836554
できごと,名詞,明智探偵,固有名詞,1,4,362,365,0.0027397260273972603,0.00546448087431694,0.25,3.160595763125968
明智探偵,固有名詞,本日,名詞,1,362,1,362,0.0027624309392265192,0.005509641873278237,1.0,5.160595763125968
あざけり,名詞,怪人二十面相,固有名詞,1,1,543,543,0.001841620626151013,0.003676470588235294,1.0,4.5756332624048115
ついらく,名詞,怪人二十面相,固有名詞,1,1,543,543,0.001841620626151013,0.003676470588235294,1.0,4.5756332624048115
使い道,名詞,明智探偵,固有名詞,1,1,362,362,0.0027624309392265192,0.005509641873278237,1.0,5.160595763125968
ばしご,名詞,明智探偵,固有名詞,1,7,362,368,0.002717391304347826,0.005420054200542005,0.14285714285714285,2.353240841068364
地底,名詞,怪人二十面相,固有名詞,1,1,543,543,0.001841620626151013,0.003676470588235294,1.0,4.5756332624048115
建物,名詞,明智探偵,固有名詞,1,12,362,373,0.002680965147453083,0.0053475935828877,0.08333333333333333,1.5756332624048117
姿勢,名詞,怪人二十面相,固有名詞,1,5,543,547,0.0018281535648994515,0.0036496350364963502,0.2,2.2537051675174493
寺,名詞,明智探偵,固有名詞,1,2,362,363,0.0027548209366391185,0.005494505494505495,0.5,4.160595763125968
地獄,名詞,怪人二十面相,固有名詞,1,2,543,544,0.001838235294117647,0.003669724770642202,0.5,3.5756332624048115
壮太郎,名詞,明智探偵,固有名詞,1,53,362,414,0.0024154589371980675,0.004819277108433735,0.018867924528301886,-0.5673246914372313
あまり,名詞,明智探偵,固有名詞,1,7,362,368,0.002717391304347826,0.005420054200542005,0.14285714285714285,2.353240841068364
不在,名詞,明智探偵,固有名詞,1,1,362,362,0.0027624309392265192,0.005509641873278237,1.0,5.160595763125968
び,名詞,怪人二十面相,固有名詞,1,1,543,543,0.001841620626151013,0.003676470588235294,1.0,4.5756332624048115
官,名詞,明智探偵,固有名詞,1,2,362,363,0.0027548209366391185,0.005494505494505495,0.5,4.160595763125968
明智探偵,固有名詞,滞在,名詞,1,362,2,363,0.0027548209366391185,0.005494505494505495,0.5,4.160595763125968
怪人二十面相,固有名詞,鏡,名詞,1,543,6,548,0.0018248175182481751,0.0036429872495446266,0.16666666666666666,1.9906707616836554
うえ死に,名詞,怪人二十面相,固有名詞,1,2,543,544,0.001838235294117647,0.003669724770642202,0.5,3.5756332624048115
床板,名詞,怪人二十面相,固有名詞,1,2,543,544,0.001838235294117647,0.003669724770642202,0.5,3.5756332624048115
明智探偵,固有名詞,逮捕,名詞,1,362,8,369,0.0027100271002710027,0.005405405405405406,0.125,2.160595763125968
富士,名詞,明智探偵,固有名詞,1,4,362,365,0.0027397260273972603,0.00546448087431694,0.25,3.160595763125968
ことがら,名詞,明智探偵,固有名詞,1,1,362,362,0.0027624309392265192,0.005509641873278237,1.0,5.160595763125968
帰国,名詞,明智探偵,固有名詞,1,1,362,362,0.0027624309392265192,0.005509641873278237,1.0,5.160595763125968
とめ金,名詞,怪人二十面相,固有名詞,1,1,543,543,0.001841620626151013,0.003676470588235294,1.0,4.5756332624048115
対立,名詞,明智探偵,固有名詞,1,1,362,362,0.0027624309392265192,0.005509641873278237,1.0,5.160595763125968
修,名詞,明智探偵,固有名詞,1,1,362,362,0.0027624309392265192,0.005509641873278237,1.0,5.160595763125968
明智探偵,固有名詞,来,名詞,1,362,1,362,0.0027624309392265192,0.005509641873278237,1.0,5.160595763125968
予定,名詞,明智探偵,固有名詞,1,2,362,363,0.0027548209366391185,0.005494505494505495,0.5,4.160595763125968
その道,名詞,明智探偵,固有名詞,1,1,362,362,0.0027624309392265192,0.005509641873278237,1.0,5.160595763125968
感嘆,名詞,明智探偵,固有名詞,1,1,362,362,0.0027624309392265192,0.005509641873278237,1.0,5.160595763125968
専門,名詞,明智探偵,固有名詞,1,4,362,365,0.0027397260273972603,0.00546448087431694,0.25,3.160595763125968
明智探偵,固有名詞,第一人者,名詞,1,362,1,362,0.0027624309392265192,0.005509641873278237,1.0,5.160595763125968
明智探偵,固有名詞,見おぼえ,名詞,1,362,3,364,0.0027472527472527475,0.005479452054794521,0.3333333333333333,3.5756332624048115
明智探偵,固有名詞,鼻,名詞,1,362,5,366,0.00273224043715847,0.005449591280653951,0.2,2.8386676682386054
明智探偵,固有名詞,温泉,名詞,1,362,4,365,0.0027397260273972603,0.00546448087431694,0.25,3.160595763125968
修繕,名詞,明智探偵,固有名詞,1,2,362,363,0.0027548209366391185,0.005494505494505495,0.5,4.160595763125968
出張,名詞,明智探偵,固有名詞,1,3,362,364,0.0027472527472527475,0.005479452054794521,0.3333333333333333,3.5756332624048115
帰京,名詞,明智探偵,固有名詞,1,1,362,362,0.0027624309392265192,0.005509641873278237,1.0,5.160595763125968
怪人二十面相,固有名詞,明察,名詞,1,543,1,543,0.001841620626151013,0.003676470588235294,1.0,4.5756332624048115
敵対,名詞,明智探偵,固有名詞,1,2,362,363,0.0027548209366391185,0.005494505494505495,0.5,4.160595763125968
大口,名詞,怪人二十面相,固有名詞,1,1,543,543,0.001841620626151013,0.003676470588235294,1.0,4.5756332624048115
像,名詞,怪人二十面相,固有名詞,1,3,543,545,0.001834862385321101,0.003663003663003663,0.3333333333333333,2.9906707616836554
明智探偵,固有名詞,破滅,名詞,1,362,2,363,0.0027548209366391185,0.005494505494505495,0.5,4.160595763125968
ちがい,名詞,明智探偵,固有名詞,1,6,362,367,0.0027247956403269754,0.005434782608695652,0.16666666666666666,2.5756332624048115
保護,名詞,明智探偵,固有名詞,1,3,362,364,0.0027472527472527475,0.005479452054794521,0.3333333333333333,3.5756332624048115
明智探偵,固有名詞,面会,名詞,1,362,3,364,0.0027472527472527475,0.005479452054794521,0.3333333333333333,3.5756332624048115
明智探偵,固有名詞,答え,名詞,1,362,1,362,0.0027624309392265192,0.005509641873278237,1.0,5.160595763125968
明智探偵,固有名詞,谷川,名詞,1,362,2,363,0.0027548209366391185,0.005494505494505495,0.5,4.160595763125968
三十,名詞,明智探偵,固有名詞,1,12,362,373,0.002680965147453083,0.0053475935828877,0.08333333333333333,1.5756332624048117
すみの,名詞,怪人二十面相,固有名詞,1,1,543,543,0.001841620626151013,0.003676470588235294,1.0,4.5756332624048115
明智探偵,固有名詞,裏,名詞,1,362,15,376,0.0026595744680851063,0.005305039787798408,0.06666666666666667,1.2537051675174493
