単語a,単語aの品詞,単語b,単語bの品詞,共起頻度,単語aの出現頻度,単語bの出現頻度,単語aと単語bの和集合,Jaccard係数,Dice係数,Simpson係数,相互情報量
尽力,名詞,明智探偵,固有名詞,1,1,362,362,0.0027624309392265192,0.005509641873278237,1.0,5.160595763125968
団長,名詞,明智探偵,固有名詞,1,4,362,365,0.0027397260273972603,0.00546448087431694,0.25,3.160595763125968
功,名詞,怪人二十面相,固有名詞,1,1,543,543,0.001841620626151013,0.003676470588235294,1.0,4.5756332624048115
加勢,名詞,怪人二十面相,固有名詞,1,2,543,544,0.001838235294117647,0.003669724770642202,0.5,3.5756332624048115
うそ,名詞,明智探偵,固有名詞,1,6,362,367,0.0027247956403269754,0.005434782608695652,0.16666666666666666,2.5756332624048115
壮,名詞,明智探偵,固有名詞,1,37,362,398,0.002512562814070352,0.005012531328320802,0.02702702702702703,-0.04885760250298212
怪人二十面相,固有名詞,金属,名詞,1,543,1,543,0.001841620626151013,0.003676470588235294,1.0,4.5756332624048115
手段,名詞,明智探偵,固有名詞,1,10,362,371,0.0026954177897574125,0.005376344086021506,0.1,1.8386676682386054
明智探偵,固有名詞,賛成,名詞,1,362,2,363,0.0027548209366391185,0.005494505494505495,0.5,4.160595763125968
十二,名詞,明智探偵,固有名詞,1,15,362,376,0.0026595744680851063,0.005305039787798408,0.06666666666666667,1.2537051675174493
功績,名詞,明智探偵,固有名詞,1,1,362,362,0.0027624309392265192,0.005509641873278237,1.0,5.160595763125968
捜索,名詞,明智探偵,固有名詞,1,8,362,369,0.0027100271002710027,0.005405405405405406,0.125,2.160595763125968
明智探偵,固有名詞,火曜,名詞,1,362,1,362,0.0027624309392265192,0.005509641873278237,1.0,5.160595763125968
しげみ,名詞,怪人二十面相,固有名詞,1,3,543,545,0.001834862385321101,0.003663003663003663,0.3333333333333333,2.9906707616836554
利用,名詞,明智探偵,固有名詞,1,1,362,362,0.0027624309392265192,0.005509641873278237,1.0,5.160595763125968
日曜,名詞,明智探偵,固有名詞,1,2,362,363,0.0027548209366391185,0.005494505494505495,0.5,4.160595763125968
壁,名詞,明智探偵,固有名詞,1,10,362,371,0.0026954177897574125,0.005376344086021506,0.1,1.8386676682386054
夢,名詞,明智探偵,固有名詞,1,14,362,375,0.0026666666666666666,0.005319148936170213,0.07142857142857142,1.3532408410683636
明智探偵,固有名詞,水曜,名詞,1,362,1,362,0.0027624309392265192,0.005509641873278237,1.0,5.160595763125968
学校,名詞,明智探偵,固有名詞,1,11,362,372,0.002688172043010753,0.005361930294906166,0.09090909090909091,1.7011641444886705
明智探偵,固有名詞,電気,名詞,1,362,1,362,0.0027624309392265192,0.005509641873278237,1.0,5.160595763125968
左手,名詞,怪人二十面相,固有名詞,1,5,543,547,0.0018281535648994515,0.0036496350364963502,0.2,2.2537051675174493
明智探偵,固有名詞,毛,名詞,1,362,7,368,0.002717391304347826,0.005420054200542005,0.14285714285714285,2.353240841068364
命令,名詞,明智探偵,固有名詞,1,8,362,369,0.0027100271002710027,0.005405405405405406,0.125,2.160595763125968
ガチャン,名詞,怪人二十面相,固有名詞,1,2,543,544,0.001838235294117647,0.003669724770642202,0.5,3.5756332624048115
ぐるぐる巻き,名詞,怪人二十面相,固有名詞,1,4,543,546,0.0018315018315018315,0.003656307129798903,0.25,2.5756332624048115
かっこう,名詞,明智探偵,固有名詞,1,7,362,368,0.002717391304347826,0.005420054200542005,0.14285714285714285,2.353240841068364
先頭,名詞,明智探偵,固有名詞,1,3,362,364,0.0027472527472527475,0.005479452054794521,0.3333333333333333,3.5756332624048115
明智探偵,固有名詞,足なみ,名詞,1,362,1,362,0.0027624309392265192,0.005509641873278237,1.0,5.160595763125968
明智探偵,固有名詞,時計,名詞,1,362,9,370,0.002702702702702703,0.005390835579514825,0.1111111111111111,1.9906707616836554
体,名詞,明智探偵,固有名詞,1,2,362,363,0.0027548209366391185,0.005494505494505495,0.5,4.160595763125968
明智探偵,固有名詞,白髯,名詞,1,362,5,366,0.00273224043715847,0.005449591280653951,0.2,2.8386676682386054
明智探偵,固有名詞,本館,名詞,1,362,1,362,0.0027624309392265192,0.005509641873278237,1.0,5.160595763125968
向こうがわ,名詞,怪人二十面相,固有名詞,1,2,543,544,0.001838235294117647,0.003669724770642202,0.5,3.5756332624048115
平地,名詞,怪人二十面相,固有名詞,1,1,543,543,0.001841620626151013,0.003676470588235294,1.0,4.5756332624048115
いつ,名詞,明智探偵,固有名詞,1,8,362,369,0.0027100271002710027,0.005405405405405406,0.125,2.160595763125968
明智探偵,固有名詞,月曜,名詞,1,362,1,362,0.0027624309392265192,0.005509641873278237,1.0,5.160595763125968
怪人二十面相,固有名詞,懐中,名詞,1,543,10,552,0.0018115942028985507,0.003616636528028933,0.1,1.2537051675174493
余暇,名詞,明智探偵,固有名詞,1,1,362,362,0.0027624309392265192,0.005509641873278237,1.0,5.160595763125968
仏画,名詞,明智探偵,固有名詞,1,1,362,362,0.0027624309392265192,0.005509641873278237,1.0,5.160595763125968
向こうがわ,名詞,明智探偵,固有名詞,1,2,362,363,0.0027548209366391185,0.005494505494505495,0.5,4.160595763125968
てれかくし,名詞,明智探偵,固有名詞,1,1,362,362,0.0027624309392265192,0.005509641873278237,1.0,5.160595763125968
往来,名詞,明智探偵,固有名詞,1,3,362,364,0.0027472527472527475,0.005479452054794521,0.3333333333333333,3.5756332624048115
応対,名詞,明智探偵,固有名詞,1,1,362,362,0.0027624309392265192,0.005509641873278237,1.0,5.160595763125968
怪人二十面相,固有名詞,高千穂,名詞,1,543,1,543,0.001841620626151013,0.003676470588235294,1.0,4.5756332624048115
明智探偵,固有名詞,片足,名詞,1,362,1,362,0.0027624309392265192,0.005509641873278237,1.0,5.160595763125968
明智探偵,固有名詞,石段,名詞,1,362,3,364,0.0027472527472527475,0.005479452054794521,0.3333333333333333,3.5756332624048115
明智探偵,固有名詞,正面,名詞,1,362,6,367,0.0027247956403269754,0.005434782608695652,0.16666666666666666,2.5756332624048115
明智探偵,固有名詞,暴言,名詞,1,362,1,362,0.0027624309392265192,0.005509641873278237,1.0,5.160595763125968
