表層形,品詞,品詞細分類(1),品詞細分類(2),品詞細分類(3),活用型,活用形,原形,読み,発音,カテゴリー,章番号,文番号
麻酔薬,名詞,固有名詞,一般,*,*,*,麻酔薬,マスイヤク,マスイヤク,大時計の怪,11,112
を,助詞,格助詞,一般,*,*,*,を,ヲ,ヲ,大時計の怪,11,112
し,動詞,自立,*,*,サ変・スル,連用形,する,シ,シ,大時計の怪,11,112
ませ,助動詞,*,*,*,特殊・マス,未然形,ます,マセ,マセ,大時計の怪,11,112
た,助動詞,*,*,*,特殊・タ,基本形,た,タ,タ,大時計の怪,11,112
きれ,動詞,自立,*,*,一段,連用形,きれる,キレ,キレ,大時計の怪,11,112
を,助詞,格助詞,一般,*,*,*,を,ヲ,ヲ,大時計の怪,11,112
、,記号,読点,*,*,*,*,、,、,、,大時計の怪,11,112
玉村,名詞,固有名詞,人名,姓,*,*,玉村,タマムラ,タマムラ,大時計の怪,11,112
さん,名詞,接尾,人名,*,*,*,さん,サン,サン,大時計の怪,11,112
の,助詞,連体化,*,*,*,*,の,ノ,ノ,大時計の怪,11,112
口,名詞,一般,*,*,*,*,口,クチ,クチ,大時計の怪,11,112
と,助詞,並立助詞,*,*,*,*,と,ト,ト,大時計の怪,11,112
鼻,名詞,一般,*,*,*,*,鼻,ハナ,ハナ,大時計の怪,11,112
に,助詞,格助詞,一般,*,*,*,に,ニ,ニ,大時計の怪,11,112
、,記号,読点,*,*,*,*,、,、,、,大時計の怪,11,112
おしつけ,動詞,自立,*,*,一段,連用形,おしつける,オシツケ,オシツケ,大時計の怪,11,112
た,助動詞,*,*,*,特殊・タ,基本形,た,タ,タ,大時計の怪,11,112
の,名詞,非自立,一般,*,*,*,の,ノ,ノ,大時計の怪,11,112
です,助動詞,*,*,*,特殊・デス,基本形,です,デス,デス,大時計の怪,11,112
。,記号,句点,*,*,*,*,。,。,。,大時計の怪,11,112
それから,接続詞,*,*,*,*,*,それから,ソレカラ,ソレカラ,大時計の怪,11,113
あと,名詞,一般,*,*,*,*,あと,アト,アト,大時計の怪,11,113
は,助詞,係助詞,*,*,*,*,は,ハ,ワ,大時計の怪,11,113
、,記号,読点,*,*,*,*,、,、,、,大時計の怪,11,113
手ばやく,形容詞,自立,*,*,形容詞・アウオ段,連用テ接続,手ばやい,テバヤク,テバヤク,大時計の怪,11,113
パタパタ,副詞,助詞類接続,*,*,*,*,パタパタ,パタパタ,パタパタ,大時計の怪,11,113
と,助詞,副詞化,*,*,*,*,と,ト,ト,大時計の怪,11,113
こと,名詞,非自立,一般,*,*,*,こと,コト,コト,大時計の怪,11,113
が,助詞,格助詞,一般,*,*,*,が,ガ,ガ,大時計の怪,11,113
はこば,動詞,自立,*,*,五段・バ行,未然形,はこぶ,ハコバ,ハコバ,大時計の怪,11,113
れ,動詞,接尾,*,*,一段,連用形,れる,レ,レ,大時計の怪,11,113
て,助詞,接続助詞,*,*,*,*,て,テ,テ,大時計の怪,11,113
しまい,動詞,非自立,*,*,五段・ワ行促音便,連用形,しまう,シマイ,シマイ,大時計の怪,11,113
まし,助動詞,*,*,*,特殊・マス,連用形,ます,マシ,マシ,大時計の怪,11,113
た,助動詞,*,*,*,特殊・タ,基本形,た,タ,タ,大時計の怪,11,113
。,記号,句点,*,*,*,*,。,。,。,大時計の怪,11,113
麻酔薬,名詞,固有名詞,一般,*,*,*,麻酔薬,マスイヤク,マスイヤク,大時計の怪,11,114
