表層形,品詞,品詞細分類(1),品詞細分類(2),品詞細分類(3),活用型,活用形,原形,読み,発音,カテゴリー
押入れ,名詞,一般,*,*,*,*,押し入れ,オシイレ,オシーレ,四
の,助詞,連体化,*,*,*,*,の,ノ,ノ,四
板戸,名詞,固有名詞,人名,姓,*,*,板戸,イタド,イタド,四
の,助詞,格助詞,一般,*,*,*,の,ノ,ノ,四
開い,動詞,自立,*,*,五段・カ行イ音便,連用タ接続,開く,ヒライ,ヒライ,四
て,助詞,接続助詞,*,*,*,*,て,テ,テ,四
いる,動詞,非自立,*,*,一段,基本形,いる,イル,イル,四
こと,名詞,非自立,一般,*,*,*,こと,コト,コト,四
が,助詞,格助詞,一般,*,*,*,が,ガ,ガ,四
分っ,動詞,自立,*,*,五段・ラ行,連用タ接続,分る,ワカッ,ワカッ,四
た,助動詞,*,*,*,特殊・タ,基本形,た,タ,タ,四
。,記号,句点,*,*,*,*,。,。,。,四
物音,名詞,一般,*,*,*,*,物音,モノオト,モノオト,四
は,助詞,係助詞,*,*,*,*,は,ハ,ワ,四
どうやら,副詞,一般,*,*,*,*,どうやら,ドウヤラ,ドーヤラ,四
その,連体詞,*,*,*,*,*,その,ソノ,ソノ,四
中,名詞,非自立,副詞可能,*,*,*,中,ナカ,ナカ,四
から,助詞,格助詞,一般,*,*,*,から,カラ,カラ,四
聞え,動詞,自立,*,*,一段,連用形,聞える,キコエ,キコエ,四
て,助詞,接続助詞,*,*,*,*,て,テ,テ,四
来る,動詞,非自立,*,*,カ変・来ル,基本形,来る,クル,クル,四
らしく,助動詞,*,*,*,形容詞・イ段,連用テ接続,らしい,ラシク,ラシク,四
思わ,動詞,自立,*,*,五段・ワ行促音便,未然形,思う,オモワ,オモワ,四
れる,動詞,接尾,*,*,一段,基本形,れる,レル,レル,四
の,名詞,非自立,一般,*,*,*,の,ノ,ノ,四
だ,助動詞,*,*,*,特殊・ダ,基本形,だ,ダ,ダ,四
。,記号,句点,*,*,*,*,。,。,。,四
「,記号,括弧開,*,*,*,*,「,「,「,四
助け,動詞,自立,*,*,一段,連用形,助ける,タスケ,タスケ,四
て,助詞,接続助詞,*,*,*,*,て,テ,テ,四
呉れ,動詞,自立,*,*,一段・クレル,連用形,呉れる,クレ,クレ,四
、,記号,読点,*,*,*,*,、,、,、,四
俺,名詞,代名詞,一般,*,*,*,俺,オレ,オレ,四
だ,助動詞,*,*,*,特殊・ダ,基本形,だ,ダ,ダ,四
」,記号,括弧閉,*,*,*,*,」,」,」,四
幽,形容詞,自立,*,*,形容詞・アウオ段,ガル接続,幽い,カソケ,カソケ,四
な,助詞,終助詞,*,*,*,*,な,ナ,ナ,四
幽,形容詞,自立,*,*,形容詞・アウオ段,ガル接続,幽い,カソケ,カソケ,四
な,助詞,終助詞,*,*,*,*,な,ナ,ナ,四
、,記号,読点,*,*,*,*,、,、,、,四
あるかな,名詞,固有名詞,一般,*,*,*,あるかな,アルカナ,アルカナ,四
き,助動詞,*,*,*,文語・キ,基本形,き,キ,キ,四
か,助詞,副助詞／並立助詞／終助詞,*,*,*,*,か,カ,カ,四
の,助詞,連体化,*,*,*,*,の,ノ,ノ,四
ふくみ,動詞,自立,*,*,五段・マ行,連用形,ふくむ,フクミ,フクミ,四
声,名詞,接尾,一般,*,*,*,声,ゴエ,ゴエ,四
で,助詞,格助詞,一般,*,*,*,で,デ,デ,四
は,助詞,係助詞,*,*,*,*,は,ハ,ワ,四
あっ,動詞,自立,*,*,五段・ラ行,連用タ接続,ある,アッ,アッ,四
た,助動詞,*,*,*,特殊・タ,基本形,た,タ,タ,四
が,助詞,接続助詞,*,*,*,*,が,ガ,ガ,四
、,記号,読点,*,*,*,*,、,、,、,四
それ,名詞,代名詞,一般,*,*,*,それ,ソレ,ソレ,四
が,助詞,格助詞,一般,*,*,*,が,ガ,ガ,四
異様,名詞,形容動詞語幹,*,*,*,*,異様,イヨウ,イヨー,四
に,助詞,副詞化,*,*,*,*,に,ニ,ニ,四
ハッキリ,副詞,助詞類接続,*,*,*,*,ハッキリ,ハッキリ,ハッキリ,四
と,助詞,副詞化,*,*,*,*,と,ト,ト,四
お,接頭詞,名詞接続,*,*,*,*,お,オ,オ,四
せい,名詞,一般,*,*,*,*,せい,セイ,セイ,四
の,助詞,連体化,*,*,*,*,の,ノ,ノ,四
耳,名詞,一般,*,*,*,*,耳,ミミ,ミミ,四
を,助詞,格助詞,一般,*,*,*,を,ヲ,ヲ,四
打っ,動詞,自立,*,*,五段・タ行,連用タ接続,打つ,ウッ,ウッ,四
た,助動詞,*,*,*,特殊・タ,基本形,た,タ,タ,四
。,記号,句点,*,*,*,*,。,。,。,四
まぎれ,名詞,一般,*,*,*,*,紛れ,マギレ,マギレ,四
も,助詞,係助詞,*,*,*,*,も,モ,モ,四
ない,形容詞,自立,*,*,形容詞・アウオ段,基本形,ない,ナイ,ナイ,四
夫,名詞,一般,*,*,*,*,夫,オット,オット,四
