表層形,品詞,品詞細分類(1),品詞細分類(2),品詞細分類(3),活用型,活用形,原形,読み,発音,カテゴリー
。,記号,句点,*,*,*,*,。,。,。,９
あな,名詞,一般,*,*,*,*,あな,アナ,アナ,９
も,助詞,係助詞,*,*,*,*,も,モ,モ,９
なに,名詞,代名詞,一般,*,*,*,なに,ナニ,ナニ,９
も,助詞,係助詞,*,*,*,*,も,モ,モ,９
ない,形容詞,自立,*,*,形容詞・アウオ段,基本形,ない,ナイ,ナイ,９
コンクリート,名詞,一般,*,*,*,*,コンクリート,コンクリート,コンクリート,９
の,助詞,連体化,*,*,*,*,の,ノ,ノ,９
ゆか,名詞,固有名詞,人名,名,*,*,ゆか,ユカ,ユカ,９
から,助詞,格助詞,一般,*,*,*,から,カラ,カラ,９
、,記号,読点,*,*,*,*,、,、,、,９
むくむく,副詞,一般,*,*,*,*,むくむく,ムクムク,ムクムク,９
と,助詞,格助詞,一般,*,*,*,と,ト,ト,９
上がっ,動詞,自立,*,*,五段・ラ行,連用タ接続,上がる,アガッ,アガッ,９
て,助詞,接続助詞,*,*,*,*,て,テ,テ,９
くる,動詞,非自立,*,*,カ変・クル,基本形,くる,クル,クル,９
の,名詞,非自立,一般,*,*,*,の,ノ,ノ,９
です,助動詞,*,*,*,特殊・デス,基本形,です,デス,デス,９
。,記号,句点,*,*,*,*,。,。,。,９
子ども,名詞,一般,*,*,*,*,子ども,コドモ,コドモ,９
くらい,助詞,副助詞,*,*,*,*,くらい,クライ,クライ,９
の,助詞,連体化,*,*,*,*,の,ノ,ノ,９
大き,形容詞,自立,*,*,形容詞・イ段,ガル接続,大きい,オオキ,オーキ,９
さ,名詞,接尾,特殊,*,*,*,さ,サ,サ,９
に,助詞,格助詞,一般,*,*,*,に,ニ,ニ,９
なり,動詞,自立,*,*,五段・ラ行,連用形,なる,ナリ,ナリ,９
まし,助動詞,*,*,*,特殊・マス,連用形,ます,マシ,マシ,９
た,助動詞,*,*,*,特殊・タ,基本形,た,タ,タ,９
。,記号,句点,*,*,*,*,。,。,。,９
おとな,名詞,一般,*,*,*,*,おとな,オトナ,オトナ,９
くらい,助詞,副助詞,*,*,*,*,くらい,クライ,クライ,９
に,助詞,格助詞,一般,*,*,*,に,ニ,ニ,９
なり,動詞,自立,*,*,五段・ラ行,連用形,なる,ナリ,ナリ,９
まし,助動詞,*,*,*,特殊・マス,連用形,ます,マシ,マシ,９
た,助動詞,*,*,*,特殊・タ,基本形,た,タ,タ,９
。,記号,句点,*,*,*,*,。,。,。,９
おとな,名詞,一般,*,*,*,*,おとな,オトナ,オトナ,９
の,助詞,連体化,*,*,*,*,の,ノ,ノ,９
ばい,名詞,一般,*,*,*,*,ばい,バイ,バイ,９
に,助詞,格助詞,一般,*,*,*,に,ニ,ニ,９
なり,動詞,自立,*,*,五段・ラ行,連用形,なる,ナリ,ナリ,９
まし,助動詞,*,*,*,特殊・マス,連用形,ます,マシ,マシ,９
た,助動詞,*,*,*,特殊・タ,基本形,た,タ,タ,９
。,記号,句点,*,*,*,*,。,。,。,９
おとな,名詞,一般,*,*,*,*,おとな,オトナ,オトナ,９
の,助詞,連体化,*,*,*,*,の,ノ,ノ,９
三,名詞,数,*,*,*,*,三,サン,サン,９
ばい,名詞,一般,*,*,*,*,ばい,バイ,バイ,９
に,助詞,格助詞,一般,*,*,*,に,ニ,ニ,９
なり,動詞,自立,*,*,五段・ラ行,連用形,なる,ナリ,ナリ,９
まし,助動詞,*,*,*,特殊・マス,連用形,ます,マシ,マシ,９
た,助動詞,*,*,*,特殊・タ,基本形,た,タ,タ,９
。,記号,句点,*,*,*,*,。,。,。,９
大きな,連体詞,*,*,*,*,*,大きな,オオキナ,オーキナ,９
