表層形,品詞,品詞細分類(1),品詞細分類(2),品詞細分類(3),活用型,活用形,原形,読み,発音,カテゴリー,章番号,文番号
て,助詞,接続助詞,*,*,*,*,て,テ,テ,< 章なし >,0,54
見,動詞,自立,*,*,一段,連用形,見る,ミ,ミ,< 章なし >,0,54
た,助動詞,*,*,*,特殊・タ,基本形,た,タ,タ,< 章なし >,0,54
が,助詞,接続助詞,*,*,*,*,が,ガ,ガ,< 章なし >,0,54
、,記号,読点,*,*,*,*,、,、,、,< 章なし >,0,54
さて,接続詞,*,*,*,*,*,さて,サテ,サテ,< 章なし >,0,54
、,記号,読点,*,*,*,*,、,、,、,< 章なし >,0,54
何とやら,副詞,一般,*,*,*,*,何とやら,ナントヤラ,ナントヤラ,< 章なし >,0,54
腑,名詞,一般,*,*,*,*,腑,フ,フ,< 章なし >,0,54
に,助詞,格助詞,一般,*,*,*,に,ニ,ニ,< 章なし >,0,54
落ち,動詞,自立,*,*,一段,未然形,落ちる,オチ,オチ,< 章なし >,0,54
ぬ,助動詞,*,*,*,特殊・ヌ,基本形,ぬ,ヌ,ヌ,< 章なし >,0,54
。,記号,句点,*,*,*,*,。,。,。,< 章なし >,0,54
と,助詞,格助詞,引用,*,*,*,と,ト,ト,< 章なし >,0,55
、,記号,読点,*,*,*,*,、,、,、,< 章なし >,0,55
思,名詞,固有名詞,人名,姓,*,*,思,オモイ,オモイ,< 章なし >,0,55
出す,動詞,自立,*,*,五段・サ行,基本形,出す,ダス,ダス,< 章なし >,0,55
の,名詞,非自立,一般,*,*,*,の,ノ,ノ,< 章なし >,0,55
は,助詞,係助詞,*,*,*,*,は,ハ,ワ,< 章なし >,0,55
、,記号,読点,*,*,*,*,、,、,、,< 章なし >,0,55
昨夜,名詞,副詞可能,*,*,*,*,昨夜,サクヤ,サクヤ,< 章なし >,0,55
の,助詞,連体化,*,*,*,*,の,ノ,ノ,< 章なし >,0,55
髭,名詞,一般,*,*,*,*,髭,ヒゲ,ヒゲ,< 章なし >,0,55
の,助詞,連体化,*,*,*,*,の,ノ,ノ,< 章なし >,0,55
一件,名詞,一般,*,*,*,*,一件,イッケン,イッケン,< 章なし >,0,55
だ,助動詞,*,*,*,特殊・ダ,基本形,だ,ダ,ダ,< 章なし >,0,55
。,記号,句点,*,*,*,*,。,。,。,< 章なし >,0,55
さあ,感動詞,*,*,*,*,*,さあ,サア,サー,< 章なし >,0,56
、,記号,読点,*,*,*,*,、,、,、,< 章なし >,0,56
細君,名詞,一般,*,*,*,*,細君,サイクン,サイクン,< 章なし >,0,56
どれ,名詞,代名詞,一般,*,*,*,どれ,ドレ,ドレ,< 章なし >,0,56
程,助詞,副助詞,*,*,*,*,程,ホド,ホド,< 章なし >,0,56
か,助詞,副助詞／並立助詞／終助詞,*,*,*,*,か,カ,カ,< 章なし >,0,56
心配,名詞,サ変接続,*,*,*,*,心配,シンパイ,シンパイ,< 章なし >,0,56
し,動詞,自立,*,*,サ変・スル,連用形,する,シ,シ,< 章なし >,0,56
た,助動詞,*,*,*,特殊・タ,基本形,た,タ,タ,< 章なし >,0,56
こと,名詞,非自立,一般,*,*,*,こと,コト,コト,< 章なし >,0,56
で,助動詞,*,*,*,特殊・ダ,連用形,だ,デ,デ,< 章なし >,0,56
あろ,助動詞,*,*,*,五段・ラ行アル,未然ウ接続,ある,アロ,アロ,< 章なし >,0,56
う,助動詞,*,*,*,不変化型,基本形,う,ウ,ウ,< 章なし >,0,56
。,記号,句点,*,*,*,*,。,。,。,< 章なし >,0,56
そこ,名詞,代名詞,一般,*,*,*,そこ,ソコ,ソコ,< 章なし >,0,57
へ,助詞,格助詞,一般,*,*,*,へ,ヘ,エ,< 章なし >,0,57
、,記号,読点,*,*,*,*,、,、,、,< 章なし >,0,57
Ｔ,記号,アルファベット,*,*,*,*,Ｔ,ティー,ティー,< 章なし >,0,57
が,助詞,格助詞,一般,*,*,*,が,ガ,ガ,< 章なし >,0,57
、,記号,読点,*,*,*,*,、,、,、,< 章なし >,0,57
昨夜,名詞,副詞可能,*,*,*,*,昨夜,サクヤ,サクヤ,< 章なし >,0,57
家,名詞,接尾,一般,*,*,*,家,カ,カ,< 章なし >,0,57
を,助詞,格助詞,一般,*,*,*,を,ヲ,ヲ,< 章なし >,0,57
明け,動詞,自立,*,*,一段,連用形,明ける,アケ,アケ,< 章なし >,0,57
た,助動詞,*,*,*,特殊・タ,基本形,た,タ,タ,< 章なし >,0,57
の,名詞,非自立,一般,*,*,*,の,ノ,ノ,< 章なし >,0,57
が,助詞,格助詞,一般,*,*,*,が,ガ,ガ,< 章なし >,0,57
