表層形,品詞,品詞細分類(1),品詞細分類(2),品詞細分類(3),活用型,活用形,原形,読み,発音,カテゴリー
行き,動詞,自立,*,*,五段・カ行促音便,連用形,行く,イキ,イキ,四
ます,助動詞,*,*,*,特殊・マス,基本形,ます,マス,マス,四
の,名詞,非自立,一般,*,*,*,の,ノ,ノ,四
が,助詞,格助詞,一般,*,*,*,が,ガ,ガ,四
、,記号,読点,*,*,*,*,、,、,、,四
極,副詞,一般,*,*,*,*,極,ゴク,ゴク,四
って,助詞,格助詞,連語,*,*,*,って,ッテ,ッテ,四
夜更け,名詞,一般,*,*,*,*,夜更け,ヨフケ,ヨフケ,四
な,助動詞,*,*,*,特殊・ダ,体言接続,だ,ナ,ナ,四
こと,名詞,非自立,一般,*,*,*,こと,コト,コト,四
で,助動詞,*,*,*,特殊・ダ,連用形,だ,デ,デ,四
、,記号,読点,*,*,*,*,、,、,、,四
時には,副詞,一般,*,*,*,*,時には,トキニハ,トキニワ,四
隣,名詞,一般,*,*,*,*,隣,トナリ,トナリ,四
に,助詞,格助詞,一般,*,*,*,に,ニ,ニ,四
寝,動詞,自立,*,*,一段,連用形,寝る,ネ,ネ,四
て,助詞,接続助詞,*,*,*,*,て,テ,テ,四
い,動詞,非自立,*,*,一段,連用形,いる,イ,イ,四
ます,助動詞,*,*,*,特殊・マス,基本形,ます,マス,マス,四
私,名詞,代名詞,一般,*,*,*,私,ワタシ,ワタシ,四
の,助詞,連体化,*,*,*,*,の,ノ,ノ,四
寝息,名詞,一般,*,*,*,*,寝息,ネイキ,ネイキ,四
を,助詞,格助詞,一般,*,*,*,を,ヲ,ヲ,四
窺う,動詞,自立,*,*,五段・ワ行促音便,基本形,窺う,ウカガウ,ウカガウ,四
様,名詞,非自立,助動詞語幹,*,*,*,様,ヨウ,ヨー,四
に,助詞,格助詞,一般,*,*,*,に,ニ,ニ,四
し,動詞,自立,*,*,サ変・スル,連用形,する,シ,シ,四
て,助詞,接続助詞,*,*,*,*,て,テ,テ,四
、,記号,読点,*,*,*,*,、,、,、,四
こっそり,副詞,助詞類接続,*,*,*,*,こっそり,コッソリ,コッソリ,四
と,助詞,副詞化,*,*,*,*,と,ト,ト,四
床,名詞,一般,*,*,*,*,床,ユカ,ユカ,四
の,助詞,連体化,*,*,*,*,の,ノ,ノ,四
中,名詞,非自立,副詞可能,*,*,*,中,ナカ,ナカ,四
を,助詞,格助詞,一般,*,*,*,を,ヲ,ヲ,四
抜け出し,動詞,自立,*,*,五段・サ行,連用形,抜け出す,ヌケダシ,ヌケダシ,四
て,助詞,接続助詞,*,*,*,*,て,テ,テ,四
、,記号,読点,*,*,*,*,、,、,、,四
御,接頭詞,名詞接続,*,*,*,*,御,ゴ,ゴ,四
小用,名詞,一般,*,*,*,*,小用,ショウヨウ,ショーヨー,四
に,助詞,格助詞,一般,*,*,*,に,ニ,ニ,四
でも,助詞,副助詞,*,*,*,*,でも,デモ,デモ,四
いらっ,動詞,自立,*,*,五段・ワ行促音便,連用タ接続,いらう,イラッ,イラッ,四
しった,名詞,サ変接続,*,*,*,*,しった,シッタ,シッタ,四
の,名詞,非自立,一般,*,*,*,の,ノ,ノ,四
か,助詞,副助詞／並立助詞／終助詞,*,*,*,*,か,カ,カ,四
と,助詞,格助詞,引用,*,*,*,と,ト,ト,四
思っ,動詞,自立,*,*,五段・ワ行促音便,連用タ接続,思う,オモッ,オモッ,四
て,助詞,接続助詞,*,*,*,*,て,テ,テ,四
い,動詞,非自立,*,*,一段,連用形,いる,イ,イ,四
ます,助動詞,*,*,*,特殊・マス,基本形,ます,マス,マス,四
と,助詞,接続助詞,*,*,*,*,と,ト,ト,四
、,記号,読点,*,*,*,*,、,、,、,四
そのまま,副詞,一般,*,*,*,*,そのまま,ソノママ,ソノママ,四
長い間,名詞,固有名詞,一般,*,*,*,長い間,ナガイアイダ,ナガイアイダ,四
帰っ,動詞,自立,*,*,五段・ラ行,連用タ接続,帰る,カエッ,カエッ,四
て,助詞,接続助詞,*,*,*,*,て,テ,テ,四
いらっしゃら,動詞,非自立,*,*,五段・ラ行特殊,未然形,いらっしゃる,イラッシャラ,イラッシャラ,四
ない,助動詞,*,*,*,特殊・ナイ,基本形,ない,ナイ,ナイ,四
。,記号,句点,*,*,*,*,。,。,。,四
縁側,名詞,一般,*,*,*,*,縁側,エンガワ,エンガワ,四
に,助詞,格助詞,一般,*,*,*,に,ニ,ニ,四
出,動詞,自立,*,*,一段,連用形,出る,デ,デ,四
て,助詞,接続助詞,*,*,*,*,て,テ,テ,四
見れ,動詞,自立,*,*,一段,仮定形,見る,ミレ,ミレ,四
ば,助詞,接続助詞,*,*,*,*,ば,バ,バ,四
、,記号,読点,*,*,*,*,、,、,、,四
土蔵,名詞,一般,*,*,*,*,土蔵,ドゾウ,ドゾー,四
の,助詞,連体化,*,*,*,*,の,ノ,ノ,四
窓,名詞,一般,*,*,*,*,窓,マド,マド,四
から,助詞,格助詞,一般,*,*,*,から,カラ,カラ,四
、,記号,読点,*,*,*,*,、,、,、,四
ぼんやり,名詞,サ変接続,*,*,*,*,ぼんやり,ボンヤリ,ボンヤリ,四
と,助詞,並立助詞,*,*,*,*,と,ト,ト,四
あかり,名詞,固有名詞,人名,名,*,*,あかり,アカリ,アカリ,四
が,助詞,格助詞,一般,*,*,*,が,ガ,ガ,四
つい,動詞,自立,*,*,五段・カ行イ音便,連用タ接続,つく,ツイ,ツイ,四
て,助詞,接続助詞,*,*,*,*,て,テ,テ,四
いる,動詞,非自立,*,*,一段,基本形,いる,イル,イル,四
の,名詞,非自立,一般,*,*,*,の,ノ,ノ,四
で,助動詞,*,*,*,特殊・ダ,連用形,だ,デ,デ,四
