表層形,品詞,品詞細分類(1),品詞細分類(2),品詞細分類(3),活用型,活用形,原形,読み,発音,カテゴリー
た,助動詞,*,*,*,特殊・タ,基本形,た,タ,タ,四十面相の美術館
の,名詞,非自立,一般,*,*,*,の,ノ,ノ,四十面相の美術館
だ,助動詞,*,*,*,特殊・ダ,基本形,だ,ダ,ダ,四十面相の美術館
。,記号,句点,*,*,*,*,。,。,。,四十面相の美術館
この,連体詞,*,*,*,*,*,この,コノ,コノ,四十面相の美術館
美術館,名詞,一般,*,*,*,*,美術館,ビジュツカン,ビジュツカン,四十面相の美術館
の,助詞,格助詞,一般,*,*,*,の,ノ,ノ,四十面相の美術館
ある,動詞,自立,*,*,五段・ラ行,基本形,ある,アル,アル,四十面相の美術館
奇,名詞,一般,*,*,*,*,奇,キ,キ,四十面相の美術館
面,名詞,接尾,一般,*,*,*,面,メン,メン,四十面相の美術館
城,名詞,接尾,一般,*,*,*,城,ジョウ,ジョー,四十面相の美術館
だけ,助詞,副助詞,*,*,*,*,だけ,ダケ,ダケ,四十面相の美術館
は,助詞,係助詞,*,*,*,*,は,ハ,ワ,四十面相の美術館
、,記号,読点,*,*,*,*,、,、,、,四十面相の美術館
ぜったい,副詞,一般,*,*,*,*,ぜったい,ゼッタイ,ゼッタイ,四十面相の美術館
知らせる,動詞,自立,*,*,一段,基本形,知らせる,シラセル,シラセル,四十面相の美術館
こと,名詞,非自立,一般,*,*,*,こと,コト,コト,四十面相の美術館
は,助詞,係助詞,*,*,*,*,は,ハ,ワ,四十面相の美術館
でき,動詞,自立,*,*,一段,未然形,できる,デキ,デキ,四十面相の美術館
ない,助動詞,*,*,*,特殊・ナイ,基本形,ない,ナイ,ナイ,四十面相の美術館
。,記号,句点,*,*,*,*,。,。,。,四十面相の美術館
」,記号,括弧閉,*,*,*,*,」,」,」,四十面相の美術館
四十,名詞,固有名詞,人名,姓,*,*,四十,ヨト,ヨト,四十面相の美術館
面相,名詞,一般,*,*,*,*,面相,メンソウ,メンソー,四十面相の美術館
が,助詞,格助詞,一般,*,*,*,が,ガ,ガ,四十面相の美術館
、,記号,読点,*,*,*,*,、,、,、,四十面相の美術館
ほこらしげ,名詞,形容動詞語幹,*,*,*,*,誇らしげ,ホコラシゲ,ホコラシゲ,四十面相の美術館
に,助詞,副詞化,*,*,*,*,に,ニ,ニ,四十面相の美術館
いい,動詞,自立,*,*,五段・ワ行促音便,連用形,いう,イイ,イイ,四十面相の美術館
ます,助動詞,*,*,*,特殊・マス,基本形,ます,マス,マス,四十面相の美術館
と,助詞,接続助詞,*,*,*,*,と,ト,ト,四十面相の美術館
、,記号,読点,*,*,*,*,、,、,、,四十面相の美術館
警官,名詞,一般,*,*,*,*,警官,ケイカン,ケイカン,四十面相の美術館
す,接頭詞,名詞接続,*,*,*,*,す,ス,ス,四十面相の美術館
がた,名詞,一般,*,*,*,*,がた,ガタ,ガタ,四十面相の美術館
の,助詞,連体化,*,*,*,*,の,ノ,ノ,四十面相の美術館
部下,名詞,一般,*,*,*,*,部下,ブカ,ブカ,四十面相の美術館
が,助詞,格助詞,一般,*,*,*,が,ガ,ガ,四十面相の美術館
、,記号,読点,*,*,*,*,、,、,、,四十面相の美術館
