表層形,品詞,品詞細分類(1),品詞細分類(2),品詞細分類(3),活用型,活用形,原形,読み,発音,カテゴリー
と,助詞,格助詞,引用,*,*,*,と,ト,ト,三、金ピカの赤井さん
廻る,動詞,自立,*,*,五段・ラ行,基本形,廻る,メグル,メグル,三、金ピカの赤井さん
男,名詞,一般,*,*,*,*,男,オトコ,オトコ,三、金ピカの赤井さん
だ,助動詞,*,*,*,特殊・ダ,基本形,だ,ダ,ダ,三、金ピカの赤井さん
。,記号,句点,*,*,*,*,。,。,。,三、金ピカの赤井さん
しかし,接続詞,*,*,*,*,*,しかし,シカシ,シカシ,三、金ピカの赤井さん
、,記号,読点,*,*,*,*,、,、,、,三、金ピカの赤井さん
彼,名詞,代名詞,一般,*,*,*,彼,カレ,カレ,三、金ピカの赤井さん
は,助詞,係助詞,*,*,*,*,は,ハ,ワ,三、金ピカの赤井さん
足跡,名詞,一般,*,*,*,*,足跡,アシアト,アシアト,三、金ピカの赤井さん
を,助詞,格助詞,一般,*,*,*,を,ヲ,ヲ,三、金ピカの赤井さん
見,動詞,自立,*,*,一段,連用形,見る,ミ,ミ,三、金ピカの赤井さん
て,助詞,接続助詞,*,*,*,*,て,テ,テ,三、金ピカの赤井さん
は,助詞,係助詞,*,*,*,*,は,ハ,ワ,三、金ピカの赤井さん
い,動詞,非自立,*,*,一段,未然形,いる,イ,イ,三、金ピカの赤井さん
なかっ,助動詞,*,*,*,特殊・ナイ,連用タ接続,ない,ナカッ,ナカッ,三、金ピカの赤井さん
た,助動詞,*,*,*,特殊・タ,基本形,た,タ,タ,三、金ピカの赤井さん
。,記号,句点,*,*,*,*,。,。,。,三、金ピカの赤井さん
何だか,副詞,一般,*,*,*,*,何だか,ナンダカ,ナンダカ,三、金ピカの赤井さん
知ら,動詞,自立,*,*,五段・ラ行,未然形,知る,シラ,シラ,三、金ピカの赤井さん
ぬ,助動詞,*,*,*,特殊・ヌ,基本形,ぬ,ヌ,ヌ,三、金ピカの赤井さん
が,助詞,接続助詞,*,*,*,*,が,ガ,ガ,三、金ピカの赤井さん
、,記号,読点,*,*,*,*,、,、,、,三、金ピカの赤井さん
もっと,副詞,一般,*,*,*,*,もっと,モット,モット,三、金ピカの赤井さん
他,名詞,一般,*,*,*,*,他,タ,タ,三、金ピカの赤井さん
の,助詞,連体化,*,*,*,*,の,ノ,ノ,三、金ピカの赤井さん
もの,名詞,非自立,一般,*,*,*,もの,モノ,モノ,三、金ピカの赤井さん
を,助詞,格助詞,一般,*,*,*,を,ヲ,ヲ,三、金ピカの赤井さん
見,動詞,自立,*,*,一段,連用形,見る,ミ,ミ,三、金ピカの赤井さん
て,助詞,接続助詞,*,*,*,*,て,テ,テ,三、金ピカの赤井さん
いる,動詞,非自立,*,*,一段,基本形,いる,イル,イル,三、金ピカの赤井さん
。,記号,句点,*,*,*,*,。,。,。,三、金ピカの赤井さん
彼,名詞,代名詞,一般,*,*,*,彼,カレ,カレ,三、金ピカの赤井さん
は,助詞,係助詞,*,*,*,*,は,ハ,ワ,三、金ピカの赤井さん
洋館,名詞,一般,*,*,*,*,洋館,ヨウカン,ヨーカン,三、金ピカの赤井さん
の,助詞,連体化,*,*,*,*,の,ノ,ノ,三、金ピカの赤井さん
南側,名詞,一般,*,*,*,*,南側,ミナミガワ,ミナミガワ,三、金ピカの赤井さん
（,記号,括弧開,*,*,*,*,（,（,（,三、金ピカの赤井さん
足跡,名詞,一般,*,*,*,*,足跡,アシアト,アシアト,三、金ピカの赤井さん
の,助詞,格助詞,一般,*,*,*,の,ノ,ノ,三、金ピカの赤井さん
つい,動詞,自立,*,*,五段・カ行イ音便,連用タ接続,つく,ツイ,ツイ,三、金ピカの赤井さん
て,助詞,接続助詞,*,*,*,*,て,テ,テ,三、金ピカの赤井さん
い,動詞,非自立,*,*,一段,連用形,いる,イ,イ,三、金ピカの赤井さん
た,助動詞,*,*,*,特殊・タ,基本形,た,タ,タ,三、金ピカの赤井さん
側,名詞,一般,*,*,*,*,側,ガワ,ガワ,三、金ピカの赤井さん
）,記号,括弧閉,*,*,*,*,）,）,）,三、金ピカの赤井さん
の,助詞,連体化,*,*,*,*,の,ノ,ノ,三、金ピカの赤井さん
西,名詞,一般,*,*,*,*,西,ニシ,ニシ,三、金ピカの赤井さん
の,助詞,連体化,*,*,*,*,の,ノ,ノ,三、金ピカの赤井さん
はずれ,名詞,一般,*,*,*,*,はずれ,ハズレ,ハズレ,三、金ピカの赤井さん
に,助詞,格助詞,一般,*,*,*,に,ニ,ニ,三、金ピカの赤井さん
立っ,動詞,自立,*,*,五段・タ行,連用タ接続,立つ,タッ,タッ,三、金ピカの赤井さん
て,助詞,接続助詞,*,*,*,*,て,テ,テ,三、金ピカの赤井さん
、,記号,読点,*,*,*,*,、,、,、,三、金ピカの赤井さん
建物,名詞,一般,*,*,*,*,建物,タテモノ,タテモノ,三、金ピカの赤井さん
に,助詞,格助詞,一般,*,*,*,に,ニ,ニ,三、金ピカの赤井さん
身,名詞,一般,*,*,*,*,身,ミ,ミ,三、金ピカの赤井さん
を,助詞,格助詞,一般,*,*,*,を,ヲ,ヲ,三、金ピカの赤井さん
隠し,動詞,自立,*,*,五段・サ行,連用形,隠す,カクシ,カクシ,三、金ピカの赤井さん
