表層形,品詞,品詞細分類(1),品詞細分類(2),品詞細分類(3),活用型,活用形,原形,読み,発音,カテゴリー,章番号,文番号
い,動詞,非自立,*,*,一段,連用形,いる,イ,イ,きもだめしの会,0,10
まし,助動詞,*,*,*,特殊・マス,連用形,ます,マシ,マシ,きもだめしの会,0,10
た,助動詞,*,*,*,特殊・タ,基本形,た,タ,タ,きもだめしの会,0,10
。,記号,句点,*,*,*,*,。,。,。,きもだめしの会,0,10
ものごと,名詞,一般,*,*,*,*,物事,モノゴト,モノゴト,きもだめしの会,0,11
を,助詞,格助詞,一般,*,*,*,を,ヲ,ヲ,きもだめしの会,0,11
注意,名詞,サ変接続,*,*,*,*,注意,チュウイ,チューイ,きもだめしの会,0,11
ぶ,動詞,自立,*,*,五段・ラ行,体言接続特殊２,ぶる,ブ,ブ,きもだめしの会,0,11
かく,副詞,一般,*,*,*,*,かく,カク,カク,きもだめしの会,0,11
見る,動詞,自立,*,*,一段,基本形,見る,ミル,ミル,きもだめしの会,0,11
こと,名詞,非自立,一般,*,*,*,こと,コト,コト,きもだめしの会,0,11
だ,助動詞,*,*,*,特殊・ダ,基本形,だ,ダ,ダ,きもだめしの会,0,11
とか,助詞,並立助詞,*,*,*,*,とか,トカ,トカ,きもだめしの会,0,11
、,記号,読点,*,*,*,*,、,、,、,きもだめしの会,0,11
なにか,副詞,助詞類接続,*,*,*,*,なにか,ナニカ,ナニカ,きもだめしの会,0,11
の,助詞,連体化,*,*,*,*,の,ノ,ノ,きもだめしの会,0,11
でき,動詞,自立,*,*,一段,連用形,できる,デキ,デキ,きもだめしの会,0,11
ごと,名詞,接尾,一般,*,*,*,ごと,ゴト,ゴト,きもだめしの会,0,11
の,助詞,連体化,*,*,*,*,の,ノ,ノ,きもだめしの会,0,11
、,記号,読点,*,*,*,*,、,、,、,きもだめしの会,0,11
ほんとう,名詞,一般,*,*,*,*,ほんとう,ホントウ,ホントー,きもだめしの会,0,11
の,助詞,連体化,*,*,*,*,の,ノ,ノ,きもだめしの会,0,11
いみ,動詞,自立,*,*,五段・マ行,連用形,いむ,イミ,イミ,きもだめしの会,0,11
を,助詞,格助詞,一般,*,*,*,を,ヲ,ヲ,きもだめしの会,0,11
見,動詞,自立,*,*,一段,連用形,見る,ミ,ミ,きもだめしの会,0,11
やぶる,動詞,自立,*,*,五段・ラ行,基本形,やぶる,ヤブル,ヤブル,きもだめしの会,0,11
、,記号,読点,*,*,*,*,、,、,、,きもだめしの会,0,11
推理,名詞,サ変接続,*,*,*,*,推理,スイリ,スイリ,きもだめしの会,0,11
の,助詞,連体化,*,*,*,*,の,ノ,ノ,きもだめしの会,0,11
やりかた,名詞,一般,*,*,*,*,やり方,ヤリカタ,ヤリカタ,きもだめしの会,0,11
だ,助動詞,*,*,*,特殊・ダ,基本形,だ,ダ,ダ,きもだめしの会,0,11
とか,助詞,並立助詞,*,*,*,*,とか,トカ,トカ,きもだめしの会,0,11
、,記号,読点,*,*,*,*,、,、,、,きもだめしの会,0,11
顕微鏡,名詞,一般,*,*,*,*,顕微鏡,ケンビキョウ,ケンビキョー,きもだめしの会,0,11
の,助詞,連体化,*,*,*,*,の,ノ,ノ,きもだめしの会,0,11
