表層形,品詞,品詞細分類(1),品詞細分類(2),品詞細分類(3),活用型,活用形,原形,読み,発音,カテゴリー
、,記号,読点,*,*,*,*,、,、,、,骸骨紳士
ときどき,名詞,一般,*,*,*,*,時時,トキドキ,トキドキ,骸骨紳士
拳闘,名詞,一般,*,*,*,*,拳闘,ケントウ,ケントー,骸骨紳士
を,助詞,格助詞,一般,*,*,*,を,ヲ,ヲ,骸骨紳士
おしえ,動詞,自立,*,*,一段,連用形,おしえる,オシエ,オシエ,骸骨紳士
て,助詞,接続助詞,*,*,*,*,て,テ,テ,骸骨紳士
もらう,動詞,非自立,*,*,五段・ワ行促音便,基本形,もらう,モラウ,モラウ,骸骨紳士
こと,名詞,非自立,一般,*,*,*,こと,コト,コト,骸骨紳士
が,助詞,格助詞,一般,*,*,*,が,ガ,ガ,骸骨紳士
あり,動詞,自立,*,*,五段・ラ行,連用形,ある,アリ,アリ,骸骨紳士
、,記号,読点,*,*,*,*,、,、,、,骸骨紳士
学校,名詞,一般,*,*,*,*,学校,ガッコウ,ガッコー,骸骨紳士
で,助詞,格助詞,一般,*,*,*,で,デ,デ,骸骨紳士
も,助詞,係助詞,*,*,*,*,も,モ,モ,骸骨紳士
、,記号,読点,*,*,*,*,、,、,、,骸骨紳士
井上,名詞,固有名詞,人名,姓,*,*,井上,イノウエ,イノウエ,骸骨紳士
君,名詞,接尾,人名,*,*,*,君,クン,クン,骸骨紳士
に,助詞,格助詞,一般,*,*,*,に,ニ,ニ,骸骨紳士
かなう,動詞,自立,*,*,五段・ワ行促音便,基本形,かなう,カナウ,カナウ,骸骨紳士
もの,名詞,非自立,一般,*,*,*,もの,モノ,モノ,骸骨紳士
は,助詞,係助詞,*,*,*,*,は,ハ,ワ,骸骨紳士
、,記号,読点,*,*,*,*,、,、,、,骸骨紳士
ひとり,名詞,一般,*,*,*,*,ひとり,ヒトリ,ヒトリ,骸骨紳士
も,助詞,係助詞,*,*,*,*,も,モ,モ,骸骨紳士
あり,動詞,自立,*,*,五段・ラ行,連用形,ある,アリ,アリ,骸骨紳士
ませ,助動詞,*,*,*,特殊・マス,未然形,ます,マセ,マセ,骸骨紳士
ん,助動詞,*,*,*,不変化型,基本形,ん,ン,ン,骸骨紳士
。,記号,句点,*,*,*,*,。,。,。,骸骨紳士
その,連体詞,*,*,*,*,*,その,ソノ,ソノ,骸骨紳士
大きく,形容詞,自立,*,*,形容詞・イ段,連用テ接続,大きい,オオキク,オーキク,骸骨紳士
て,助詞,接続助詞,*,*,*,*,て,テ,テ,骸骨紳士
強い,形容詞,自立,*,*,形容詞・アウオ段,基本形,強い,ツヨイ,ツヨイ,骸骨紳士
井上,名詞,固有名詞,人名,姓,*,*,井上,イノウエ,イノウエ,骸骨紳士
君,名詞,接尾,人名,*,*,*,君,クン,クン,骸骨紳士
と,助詞,並立助詞,*,*,*,*,と,ト,ト,骸骨紳士
、,記号,読点,*,*,*,*,、,、,、,骸骨紳士
小さく,形容詞,自立,*,*,形容詞・アウオ段,連用テ接続,小さい,チイサク,チーサク,骸骨紳士
て,助詞,接続助詞,*,*,*,*,て,テ,テ,骸骨紳士
弱い,形容詞,自立,*,*,形容詞・アウオ段,基本形,弱い,ヨワイ,ヨワイ,骸骨紳士
ノロ,名詞,一般,*,*,*,*,ノロ,ノロ,ノロ,骸骨紳士
ちゃん,名詞,接尾,人名,*,*,*,ちゃん,チャン,チャン,骸骨紳士
が,助詞,格助詞,一般,*,*,*,が,ガ,ガ,骸骨紳士
、,記号,読点,*,*,*,*,、,、,、,骸骨紳士
こんなに,副詞,助詞類接続,*,*,*,*,こんなに,コンナニ,コンナニ,骸骨紳士
仲,名詞,一般,*,*,*,*,仲,ナカ,ナカ,骸骨紳士
が,助詞,格助詞,一般,*,*,*,が,ガ,ガ,骸骨紳士
よい,形容詞,自立,*,*,形容詞・アウオ段,基本形,よい,ヨイ,ヨイ,骸骨紳士
の,名詞,非自立,一般,*,*,*,の,ノ,ノ,骸骨紳士
は,助詞,係助詞,*,*,*,*,は,ハ,ワ,骸骨紳士
ふしぎ,名詞,形容動詞語幹,*,*,*,*,ふしぎ,フシギ,フシギ,骸骨紳士
な,助動詞,*,*,*,特殊・ダ,体言接続,だ,ナ,ナ,骸骨紳士
ほど,名詞,非自立,副詞可能,*,*,*,ほど,ホド,ホド,骸骨紳士
でし,助動詞,*,*,*,特殊・デス,連用形,です,デシ,デシ,骸骨紳士
た,助動詞,*,*,*,特殊・タ,基本形,た,タ,タ,骸骨紳士
。,記号,句点,*,*,*,*,。,。,。,骸骨紳士
ふたり,名詞,一般,*,*,*,*,ふたり,フタリ,フタリ,骸骨紳士
は,助詞,係助詞,*,*,*,*,は,ハ,ワ,骸骨紳士
、,記号,読点,*,*,*,*,、,、,、,骸骨紳士
両側,名詞,一般,*,*,*,*,両側,リョウガワ,リョーガワ,骸骨紳士
に,助詞,格助詞,一般,*,*,*,に,ニ,ニ,骸骨紳士
長い,形容詞,自立,*,*,形容詞・アウオ段,基本形,長い,ナガイ,ナガイ,骸骨紳士
コンクリート,名詞,一般,*,*,*,*,コンクリート,コンクリート,コンクリート,骸骨紳士
