表層形,品詞,品詞細分類(1),品詞細分類(2),品詞細分類(3),活用型,活用形,原形,読み,発音,大見出し,中見出し,小見出し,見出し番号,文番号
ます,助動詞,*,*,*,特殊・マス,基本形,ます,マス,マス,,どろぼう人形,,1,6
。,記号,句点,*,*,*,*,。,。,。,,どろぼう人形,,1,6
その,連体詞,*,*,*,*,*,その,ソノ,ソノ,,どろぼう人形,,1,7
まえ,動詞,自立,*,*,一段,連用形,まえる,マエ,マエ,,どろぼう人形,,1,7
に,助詞,格助詞,一般,*,*,*,に,ニ,ニ,,どろぼう人形,,1,7
、,記号,読点,*,*,*,*,、,、,、,,どろぼう人形,,1,7
洋服,名詞,一般,*,*,*,*,洋服,ヨウフク,ヨーフク,,どろぼう人形,,1,7
を,助詞,格助詞,一般,*,*,*,を,ヲ,ヲ,,どろぼう人形,,1,7
き,動詞,自立,*,*,カ変・クル,連用形,くる,キ,キ,,どろぼう人形,,1,7
た,助動詞,*,*,*,特殊・タ,基本形,た,タ,タ,,どろぼう人形,,1,7
男,名詞,一般,*,*,*,*,男,オトコ,オトコ,,どろぼう人形,,1,7
の,助詞,連体化,*,*,*,*,の,ノ,ノ,,どろぼう人形,,1,7
人形,名詞,一般,*,*,*,*,人形,ニンギョウ,ニンギョー,,どろぼう人形,,1,7
が,助詞,格助詞,一般,*,*,*,が,ガ,ガ,,どろぼう人形,,1,7
、,記号,読点,*,*,*,*,、,、,、,,どろぼう人形,,1,7
いくつ,名詞,代名詞,一般,*,*,*,いくつ,イクツ,イクツ,,どろぼう人形,,1,7
も,助詞,係助詞,*,*,*,*,も,モ,モ,,どろぼう人形,,1,7
立っ,動詞,自立,*,*,五段・タ行,連用タ接続,立つ,タッ,タッ,,どろぼう人形,,1,7
て,助詞,接続助詞,*,*,*,*,て,テ,テ,,どろぼう人形,,1,7
いる,動詞,非自立,*,*,一段,基本形,いる,イル,イル,,どろぼう人形,,1,7
の,名詞,非自立,一般,*,*,*,の,ノ,ノ,,どろぼう人形,,1,7
です,助動詞,*,*,*,特殊・デス,基本形,です,デス,デス,,どろぼう人形,,1,7
。,記号,句点,*,*,*,*,。,。,。,,どろぼう人形,,1,7
懐中電灯,名詞,固有名詞,一般,*,*,*,懐中電灯,カイチュウデントウ,カイチューデントー,,どろぼう人形,,1,8
の,助詞,連体化,*,*,*,*,の,ノ,ノ,,どろぼう人形,,1,8
まる,接頭詞,数接続,*,*,*,*,まる,マル,マル,,どろぼう人形,,1,8
い光,名詞,一般,*,*,*,*,威光,イコウ,イコー,,どろぼう人形,,1,8
が,助詞,格助詞,一般,*,*,*,が,ガ,ガ,,どろぼう人形,,1,8
、,記号,読点,*,*,*,*,、,、,、,,どろぼう人形,,1,8
その,連体詞,*,*,*,*,*,その,ソノ,ソノ,,どろぼう人形,,1,8
人形,名詞,一般,*,*,*,*,人形,ニンギョウ,ニンギョー,,どろぼう人形,,1,8
の,助詞,連体化,*,*,*,*,の,ノ,ノ,,どろぼう人形,,1,8
一つ,名詞,一般,*,*,*,*,一つ,ヒトツ,ヒトツ,,どろぼう人形,,1,8
の,助詞,連体化,*,*,*,*,の,ノ,ノ,,どろぼう人形,,1,8
顔,名詞,一般,*,*,*,*,顔,カオ,カオ,,どろぼう人形,,1,8
を,助詞,格助詞,一般,*,*,*,を,ヲ,ヲ,,どろぼう人形,,1,8
、,記号,読点,*,*,*,*,、,、,、,,どろぼう人形,,1,8
てらし,動詞,自立,*,*,五段・サ行,連用形,てらす,テラシ,テラシ,,どろぼう人形,,1,8
まし,助動詞,*,*,*,特殊・マス,連用形,ます,マシ,マシ,,どろぼう人形,,1,8
た,助動詞,*,*,*,特殊・タ,基本形,た,タ,タ,,どろぼう人形,,1,8
。,記号,句点,*,*,*,*,。,。,。,,どろぼう人形,,1,8
はで,名詞,形容動詞語幹,*,*,*,*,はで,ハデ,ハデ,,どろぼう人形,,1,9
な,助動詞,*,*,*,特殊・ダ,体言接続,だ,ナ,ナ,,どろぼう人形,,1,9
、,記号,読点,*,*,*,*,、,、,、,,どろぼう人形,,1,9
しま,名詞,一般,*,*,*,*,しま,シマ,シマ,,どろぼう人形,,1,9
の,助詞,連体化,*,*,*,*,の,ノ,ノ,,どろぼう人形,,1,9
せびろ,名詞,一般,*,*,*,*,背広,セビロ,セビロ,,どろぼう人形,,1,9
を,助詞,格助詞,一般,*,*,*,を,ヲ,ヲ,,どろぼう人形,,1,9
き,動詞,自立,*,*,カ変・クル,連用形,くる,キ,キ,,どろぼう人形,,1,9
た,助動詞,*,*,*,特殊・タ,基本形,た,タ,タ,,どろぼう人形,,1,9
人形,名詞,一般,*,*,*,*,人形,ニンギョウ,ニンギョー,,どろぼう人形,,1,9
です,助動詞,*,*,*,特殊・デス,基本形,です,デス,デス,,どろぼう人形,,1,9
。,記号,句点,*,*,*,*,。,。,。,,どろぼう人形,,1,9
その,連体詞,*,*,*,*,*,その,ソノ,ソノ,,どろぼう人形,,1,10
顔,名詞,一般,*,*,*,*,顔,カオ,カオ,,どろぼう人形,,1,10
は,助詞,係助詞,*,*,*,*,は,ハ,ワ,,どろぼう人形,,1,10
、,記号,読点,*,*,*,*,、,、,、,,どろぼう人形,,1,10
色,名詞,一般,*,*,*,*,色,イロ,イロ,,どろぼう人形,,1,10
の,助詞,格助詞,一般,*,*,*,の,ノ,ノ,,どろぼう人形,,1,10
つい,動詞,自立,*,*,五段・カ行イ音便,連用タ接続,つく,ツイ,ツイ,,どろぼう人形,,1,10
た,助動詞,*,*,*,特殊・タ,基本形,た,タ,タ,,どろぼう人形,,1,10
ビニール,名詞,一般,*,*,*,*,ビニール,ビニール,ビニール,,どろぼう人形,,1,10
を,助詞,格助詞,一般,*,*,*,を,ヲ,ヲ,,どろぼう人形,,1,10
ぬっ,動詞,自立,*,*,五段・ラ行,連用タ接続,ぬる,ヌッ,ヌッ,,どろぼう人形,,1,10
た,助動詞,*,*,*,特殊・タ,基本形,た,タ,タ,,どろぼう人形,,1,10
もの,名詞,非自立,一般,*,*,*,もの,モノ,モノ,,どろぼう人形,,1,10
で,助動詞,*,*,*,特殊・ダ,連用形,だ,デ,デ,,どろぼう人形,,1,10
、,記号,読点,*,*,*,*,、,、,、,,どろぼう人形,,1,10
でき,動詞,自立,*,*,一段,連用形,できる,デキ,デキ,,どろぼう人形,,1,10
て,助詞,接続助詞,*,*,*,*,て,テ,テ,,どろぼう人形,,1,10
い,動詞,非自立,*,*,一段,連用形,いる,イ,イ,,どろぼう人形,,1,10
て,助詞,接続助詞,*,*,*,*,て,テ,テ,,どろぼう人形,,1,10
、,記号,読点,*,*,*,*,、,、,、,,どろぼう人形,,1,10
目,名詞,一般,*,*,*,*,目,メ,メ,,どろぼう人形,,1,10
や,助詞,並立助詞,*,*,*,*,や,ヤ,ヤ,,どろぼう人形,,1,10
まゆげ,名詞,固有名詞,人名,一般,*,*,まゆげ,マユゲ,マユゲ,,どろぼう人形,,1,10
が,助詞,格助詞,一般,*,*,*,が,ガ,ガ,,どろぼう人形,,1,10
、,記号,読点,*,*,*,*,、,、,、,,どろぼう人形,,1,10
黒い,形容詞,自立,*,*,形容詞・アウオ段,基本形,黒い,クロイ,クロイ,,どろぼう人形,,1,10
絵の具,名詞,一般,*,*,*,*,絵の具,エノグ,エノグ,,どろぼう人形,,1,10
で,助詞,格助詞,一般,*,*,*,で,デ,デ,,どろぼう人形,,1,10
、,記号,読点,*,*,*,*,、,、,、,,どろぼう人形,,1,10
書い,動詞,自立,*,*,五段・カ行イ音便,連用タ接続,書く,カイ,カイ,,どろぼう人形,,1,10
て,助詞,接続助詞,*,*,*,*,て,テ,テ,,どろぼう人形,,1,10
