表層形,品詞,品詞細分類(1),品詞細分類(2),品詞細分類(3),活用型,活用形,原形,読み,発音,カテゴリー,章番号,文番号
た,助動詞,*,*,*,特殊・タ,基本形,た,タ,タ,下,2,170
こと,名詞,非自立,一般,*,*,*,こと,コト,コト,下,2,170
は,助詞,係助詞,*,*,*,*,は,ハ,ワ,下,2,170
珍しい,形容詞,自立,*,*,形容詞・イ段,基本形,珍しい,メズラシイ,メズラシイ,下,2,170
。,記号,句点,*,*,*,*,。,。,。,下,2,170
私,名詞,代名詞,一般,*,*,*,私,ワタシ,ワタシ,下,2,171
は,助詞,係助詞,*,*,*,*,は,ハ,ワ,下,2,171
つくづく,副詞,一般,*,*,*,*,つくづく,ツクヅク,ツクズク,下,2,171
五,名詞,数,*,*,*,*,五,ゴ,ゴ,下,2,171
万,名詞,数,*,*,*,*,万,マン,マン,下,2,171
円,名詞,接尾,助数詞,*,*,*,円,エン,エン,下,2,171
という,助詞,格助詞,連語,*,*,*,という,トイウ,トユウ,下,2,171
金,名詞,一般,*,*,*,*,金,キン,キン,下,2,171
の,助詞,連体化,*,*,*,*,の,ノ,ノ,下,2,171
偉力,名詞,一般,*,*,*,*,偉力,イリョク,イリョク,下,2,171
に,助詞,格助詞,一般,*,*,*,に,ニ,ニ,下,2,171
驚嘆,名詞,サ変接続,*,*,*,*,驚嘆,キョウタン,キョータン,下,2,171
し,動詞,自立,*,*,サ変・スル,連用形,する,シ,シ,下,2,171
た,助動詞,*,*,*,特殊・タ,基本形,た,タ,タ,下,2,171
。,記号,句点,*,*,*,*,。,。,。,下,2,171
私,名詞,代名詞,一般,*,*,*,私,ワタシ,ワタシ,下,2,172
は,助詞,係助詞,*,*,*,*,は,ハ,ワ,下,2,172
其,名詞,一般,*,*,*,*,*,*,*,下,2,172
都度,名詞,一般,*,*,*,*,都度,ツド,ツド,下,2,172
形容,名詞,サ変接続,*,*,*,*,形容,ケイヨウ,ケイヨー,下,2,172
する,動詞,自立,*,*,サ変・スル,基本形,する,スル,スル,下,2,172
煩,名詞,一般,*,*,*,*,煩,ハン,ハン,下,2,172
を,助詞,格助詞,一般,*,*,*,を,ヲ,ヲ,下,2,172
