表層形,品詞,品詞細分類(1),品詞細分類(2),品詞細分類(3),活用型,活用形,原形,読み,発音,カテゴリー,章番号,文番号
やる,動詞,自立,*,*,五段・ラ行,基本形,やる,ヤル,ヤル,< 章なし >,0,89
の,名詞,非自立,一般,*,*,*,の,ノ,ノ,< 章なし >,0,89
なら,助動詞,*,*,*,特殊・ダ,仮定形,だ,ナラ,ナラ,< 章なし >,0,89
構わ,動詞,自立,*,*,五段・ワ行促音便,未然形,構う,カマワ,カマワ,< 章なし >,0,89
ない,助動詞,*,*,*,特殊・ナイ,基本形,ない,ナイ,ナイ,< 章なし >,0,89
と,助詞,格助詞,引用,*,*,*,と,ト,ト,< 章なし >,0,89
思い,動詞,自立,*,*,五段・ワ行促音便,連用形,思う,オモイ,オモイ,< 章なし >,0,89
まし,助動詞,*,*,*,特殊・マス,連用形,ます,マシ,マシ,< 章なし >,0,89
た,助動詞,*,*,*,特殊・タ,基本形,た,タ,タ,< 章なし >,0,89
。,記号,句点,*,*,*,*,。,。,。,< 章なし >,0,89
わたし,名詞,代名詞,一般,*,*,*,わたし,ワタシ,ワタシ,< 章なし >,0,90
は,助詞,係助詞,*,*,*,*,は,ハ,ワ,< 章なし >,0,90
南田,名詞,固有名詞,地域,一般,*,*,南田,ミナミタ,ミナミタ,< 章なし >,0,90
家,名詞,接尾,一般,*,*,*,家,カ,カ,< 章なし >,0,90
の,助詞,連体化,*,*,*,*,の,ノ,ノ,< 章なし >,0,90
近所,名詞,一般,*,*,*,*,近所,キンジョ,キンジョ,< 章なし >,0,90
から,助詞,格助詞,一般,*,*,*,から,カラ,カラ,< 章なし >,0,90
聞き,動詞,自立,*,*,五段・カ行イ音便,連用形,聞く,キキ,キキ,< 章なし >,0,90
こみ,動詞,非自立,*,*,五段・マ行,連用形,こむ,コミ,コミ,< 章なし >,0,90
を,助詞,格助詞,一般,*,*,*,を,ヲ,ヲ,< 章なし >,0,90
しよう,名詞,一般,*,*,*,*,しよう,シヨウ,シヨー,< 章なし >,0,90
