表層形,品詞,品詞細分類(1),品詞細分類(2),品詞細分類(3),活用型,活用形,原形,読み,発音,カテゴリー,章番号,文番号
は,助詞,係助詞,*,*,*,*,は,ハ,ワ,< 章なし >,0,52
終,名詞,一般,*,*,*,*,終,オワリ,オワリ,< 章なし >,0,52
戰後,名詞,一般,*,*,*,*,*,*,*,< 章なし >,0,52
探偵小説,名詞,固有名詞,一般,*,*,*,探偵小説,タンテイショウセツ,タンテイショーセツ,< 章なし >,0,52
復興,名詞,サ変接続,*,*,*,*,復興,フッコウ,フッコー,< 章なし >,0,52
の,助詞,連体化,*,*,*,*,の,ノ,ノ,< 章なし >,0,52
機運,名詞,一般,*,*,*,*,機運,キウン,キウン,< 章なし >,0,52
を,助詞,格助詞,一般,*,*,*,を,ヲ,ヲ,< 章なし >,0,52
見,動詞,自立,*,*,一段,連用形,見る,ミ,ミ,< 章なし >,0,52
た,助動詞,*,*,*,特殊・タ,基本形,た,タ,タ,< 章なし >,0,52
時,名詞,非自立,副詞可能,*,*,*,時,トキ,トキ,< 章なし >,0,52
、,記号,読点,*,*,*,*,、,、,、,< 章なし >,0,52
この,連体詞,*,*,*,*,*,この,コノ,コノ,< 章なし >,0,52
事,名詞,非自立,一般,*,*,*,事,コト,コト,< 章なし >,0,52
を,助詞,格助詞,一般,*,*,*,を,ヲ,ヲ,< 章なし >,0,52
最も,副詞,一般,*,*,*,*,最も,モットモ,モットモ,< 章なし >,0,52
強く,形容詞,自立,*,*,形容詞・アウオ段,連用テ接続,強い,ツヨク,ツヨク,< 章なし >,0,52
感じ,動詞,自立,*,*,一段,連用形,感じる,カンジ,カンジ,< 章なし >,0,52
て,助詞,接続助詞,*,*,*,*,て,テ,テ,< 章なし >,0,52
ゐ,動詞,自立,*,*,一段,連用形,ゐる,ヰ,イ,< 章なし >,0,52
た,助動詞,*,*,*,特殊・タ,基本形,た,タ,タ,< 章なし >,0,52
の,名詞,非自立,一般,*,*,*,の,ノ,ノ,< 章なし >,0,52
で,助動詞,*,*,*,特殊・ダ,連用形,だ,デ,デ,< 章なし >,0,52
ある,助動詞,*,*,*,五段・ラ行アル,基本形,ある,アル,アル,< 章なし >,0,52
。,記号,句点,*,*,*,*,。,。,。,< 章なし >,0,52
英米,名詞,固有名詞,一般,*,*,*,英米,エイベイ,エイベイ,< 章なし >,0,53
探偵小説,名詞,固有名詞,一般,*,*,*,探偵小説,タンテイショウセツ,タンテイショーセツ,< 章なし >,0,53
の,助詞,連体化,*,*,*,*,の,ノ,ノ,< 章なし >,0,53
傑作,名詞,一般,*,*,*,*,傑作,ケッサク,ケッサク,< 章なし >,0,53
と,助詞,並立助詞,*,*,*,*,と,ト,ト,< 章なし >,0,53
雖,名詞,一般,*,*,*,*,*,*,*,< 章なし >,0,53
