表層形,品詞,品詞細分類(1),品詞細分類(2),品詞細分類(3),活用型,活用形,原形,読み,発音,大見出し,中見出し,小見出し,見出し番号,文番号
し,動詞,自立,*,*,サ変・スル,連用形,する,シ,シ,,,,0,43
た,助動詞,*,*,*,特殊・タ,基本形,た,タ,タ,,,,0,43
の,名詞,非自立,一般,*,*,*,の,ノ,ノ,,,,0,43
です,助動詞,*,*,*,特殊・デス,基本形,です,デス,デス,,,,0,43
が,助詞,接続助詞,*,*,*,*,が,ガ,ガ,,,,0,43
、,記号,読点,*,*,*,*,、,、,、,,,,0,43
なんと,副詞,一般,*,*,*,*,なんと,ナント,ナント,,,,0,43
まあ,副詞,一般,*,*,*,*,まあ,マア,マー,,,,0,43
不思議,名詞,形容動詞語幹,*,*,*,*,不思議,フシギ,フシギ,,,,0,43
な,助動詞,*,*,*,特殊・ダ,体言接続,だ,ナ,ナ,,,,0,43
こと,名詞,非自立,一般,*,*,*,こと,コト,コト,,,,0,43
に,助詞,格助詞,一般,*,*,*,に,ニ,ニ,,,,0,43
は,助詞,係助詞,*,*,*,*,は,ハ,ワ,,,,0,43
、,記号,読点,*,*,*,*,、,、,、,,,,0,43
ありあり,副詞,助詞類接続,*,*,*,*,ありあり,アリアリ,アリアリ,,,,0,43
と,助詞,副詞化,*,*,*,*,と,ト,ト,,,,0,43
眼,名詞,一般,*,*,*,*,眼,メ,メ,,,,0,43
に,助詞,格助詞,一般,*,*,*,に,ニ,ニ,,,,0,43
見え,動詞,自立,*,*,一段,連用形,見える,ミエ,ミエ,,,,0,43
て,助詞,接続助詞,*,*,*,*,て,テ,テ,,,,0,43
いる,動詞,非自立,*,*,一段,基本形,いる,イル,イル,,,,0,43
その,連体詞,*,*,*,*,*,その,ソノ,ソノ,,,,0,43
紙幣,名詞,一般,*,*,*,*,紙幣,シヘイ,シヘイ,,,,0,43
が,助詞,格助詞,一般,*,*,*,が,ガ,ガ,,,,0,43
、,記号,読点,*,*,*,*,、,、,、,,,,0,43
手,名詞,一般,*,*,*,*,手,テ,テ,,,,0,43
を,助詞,格助詞,一般,*,*,*,を,ヲ,ヲ,,,,0,43
持っ,動詞,自立,*,*,五段・タ行,連用タ接続,持つ,モッ,モッ,,,,0,43
て,助詞,接続助詞,*,*,*,*,て,テ,テ,,,,0,43
行っ,動詞,非自立,*,*,五段・カ行促音便,連用タ接続,行く,イッ,イッ,,,,0,43
て,助詞,接続助詞,*,*,*,*,て,テ,テ,,,,0,43
み,動詞,非自立,*,*,一段,連用形,みる,ミ,ミ,,,,0,43
ます,助動詞,*,*,*,特殊・マス,基本形,ます,マス,マス,,,,0,43
と,助詞,接続助詞,*,*,*,*,と,ト,ト,,,,0,43
、,記号,読点,*,*,*,*,、,、,、,,,,0,43
煙,名詞,一般,*,*,*,*,煙,ケムリ,ケムリ,,,,0,43
の,助詞,連体化,*,*,*,*,の,ノ,ノ,,,,0,43
よう,名詞,非自立,助動詞語幹,*,*,*,よう,ヨウ,ヨー,,,,0,43
に,助詞,副詞化,*,*,*,*,に,ニ,ニ,,,,0,43
手ごたえ,名詞,一般,*,*,*,*,手ごたえ,テゴタエ,テゴタエ,,,,0,43
が,助詞,格助詞,一般,*,*,*,が,ガ,ガ,,,,0,43
ない,形容詞,自立,*,*,形容詞・アウオ段,基本形,ない,ナイ,ナイ,,,,0,43
で,助動詞,*,*,*,特殊・ダ,連用形,だ,デ,デ,,,,0,43
は,助詞,係助詞,*,*,*,*,は,ハ,ワ,,,,0,43
あり,動詞,自立,*,*,五段・ラ行,連用形,ある,アリ,アリ,,,,0,43
ませ,助動詞,*,*,*,特殊・マス,未然形,ます,マセ,マセ,,,,0,43
ん,助動詞,*,*,*,不変化型,基本形,ん,ン,ン,,,,0,43
か,助詞,副助詞／並立助詞／終助詞,*,*,*,*,か,カ,カ,,,,0,43
。,記号,句点,*,*,*,*,。,。,。,,,,0,43
あんな,連体詞,*,*,*,*,*,あんな,アンナ,アンナ,,,,0,44
驚い,動詞,自立,*,*,五段・カ行イ音便,連用タ接続,驚く,オドロイ,オドロイ,,,,0,44
た,助動詞,*,*,*,特殊・タ,基本形,た,タ,タ,,,,0,44
こと,名詞,非自立,一般,*,*,*,こと,コト,コト,,,,0,44
は,助詞,係助詞,*,*,*,*,は,ハ,ワ,,,,0,44
あり,動詞,自立,*,*,五段・ラ行,連用形,ある,アリ,アリ,,,,0,44
ませ,助動詞,*,*,*,特殊・マス,未然形,ます,マセ,マセ,,,,0,44
ん,助動詞,*,*,*,不変化型,基本形,ん,ン,ン,,,,0,44
