表層形,品詞,品詞細分類(1),品詞細分類(2),品詞細分類(3),活用型,活用形,原形,読み,発音,カテゴリー,章番号,文番号
ため,名詞,非自立,副詞可能,*,*,*,ため,タメ,タメ,おねえさま,0,8
だ,助動詞,*,*,*,特殊・ダ,基本形,だ,ダ,ダ,おねえさま,0,8
よ,助詞,終助詞,*,*,*,*,よ,ヨ,ヨ,おねえさま,0,8
。,記号,句点,*,*,*,*,。,。,。,おねえさま,0,8
」,記号,括弧閉,*,*,*,*,」,」,」,おねえさま,0,9
そこ,名詞,代名詞,一般,*,*,*,そこ,ソコ,ソコ,おねえさま,0,9
に,助詞,格助詞,一般,*,*,*,に,ニ,ニ,おねえさま,0,9
いる,動詞,自立,*,*,一段,基本形,いる,イル,イル,おねえさま,0,9
少年たち,名詞,固有名詞,一般,*,*,*,少年たち,ショウネンタチ,ショーネンタチ,おねえさま,0,9
は,助詞,係助詞,*,*,*,*,は,ハ,ワ,おねえさま,0,9
、,記号,読点,*,*,*,*,、,、,、,おねえさま,0,9
みんな,名詞,代名詞,一般,*,*,*,みんな,ミンナ,ミンナ,おねえさま,0,9
少年探偵団,名詞,固有名詞,組織,*,*,*,少年探偵団,ショウネンタンテイダン,ショーネンタンテイダン,おねえさま,0,9
の,助詞,連体化,*,*,*,*,の,ノ,ノ,おねえさま,0,9
団員,名詞,一般,*,*,*,*,団員,ダンイン,ダンイン,おねえさま,0,9
だっ,助動詞,*,*,*,特殊・ダ,連用タ接続,だ,ダッ,ダッ,おねえさま,0,9
た,助動詞,*,*,*,特殊・タ,基本形,た,タ,タ,おねえさま,0,9
の,名詞,非自立,一般,*,*,*,の,ノ,ノ,おねえさま,0,9
です,助動詞,*,*,*,特殊・デス,基本形,です,デス,デス,おねえさま,0,9
。,記号,句点,*,*,*,*,。,。,。,おねえさま,0,9
少年たち,名詞,固有名詞,一般,*,*,*,少年たち,ショウネンタチ,ショーネンタチ,おねえさま,0,10
は,助詞,係助詞,*,*,*,*,は,ハ,ワ,おねえさま,0,10
ぐるっと,副詞,一般,*,*,*,*,ぐるっと,グルット,グルット,おねえさま,0,10
輪,名詞,一般,*,*,*,*,輪,ワ,ワ,おねえさま,0,10
に,助詞,格助詞,一般,*,*,*,に,ニ,ニ,おねえさま,0,10
なっ,動詞,自立,*,*,五段・ラ行,連用タ接続,なる,ナッ,ナッ,おねえさま,0,10
て,助詞,接続助詞,*,*,*,*,て,テ,テ,おねえさま,0,10
、,記号,読点,*,*,*,*,、,、,、,おねえさま,0,10
美しい,形容詞,自立,*,*,形容詞・イ段,基本形,美しい,ウツクシイ,ウツクシイ,おねえさま,0,10
おじょうさん,名詞,一般,*,*,*,*,おじょうさん,オジョウサン,オジョーサン,おねえさま,0,10
と,助詞,並立助詞,*,*,*,*,と,ト,ト,おねえさま,0,10
、,記号,読点,*,*,*,*,、,、,、,おねえさま,0,10
小林,名詞,固有名詞,人名,姓,*,*,小林,コバヤシ,コバヤシ,おねえさま,0,10
団長,名詞,一般,*,*,*,*,団長,ダンチョウ,ダンチョー,おねえさま,0,10
を,助詞,格助詞,一般,*,*,*,を,ヲ,ヲ,おねえさま,0,10
とりかこみ,動詞,自立,*,*,五段・マ行,連用形,とりかこむ,トリカコミ,トリカコミ,おねえさま,0,10
、,記号,読点,*,*,*,*,、,、,、,おねえさま,0,10
好奇心,名詞,固有名詞,一般,*,*,*,好奇心,コウキシン,コーキシン,おねえさま,0,10
に,助詞,格助詞,一般,*,*,*,に,ニ,ニ,おねえさま,0,10
目,名詞,一般,*,*,*,*,目,メ,メ,おねえさま,0,10
を,助詞,格助詞,一般,*,*,*,を,ヲ,ヲ,おねえさま,0,10
かがやか,動詞,自立,*,*,五段・カ行イ音便,未然形,かがやく,カガヤカ,カガヤカ,おねえさま,0,10
せ,動詞,接尾,*,*,一段,連用形,せる,セ,セ,おねえさま,0,10
ながら,助詞,接続助詞,*,*,*,*,ながら,ナガラ,ナガラ,おねえさま,0,10
、,記号,読点,*,*,*,*,、,、,、,おねえさま,0,10
団長,名詞,一般,*,*,*,*,団長,ダンチョウ,ダンチョー,おねえさま,0,10
の,助詞,連体化,*,*,*,*,の,ノ,ノ,おねえさま,0,10
話,名詞,サ変接続,*,*,*,*,話,ハナシ,ハナシ,おねえさま,0,10
を,助詞,格助詞,一般,*,*,*,を,ヲ,ヲ,おねえさま,0,10
聞い,動詞,自立,*,*,五段・カ行イ音便,連用タ接続,聞く,キイ,キイ,おねえさま,0,10
て,助詞,接続助詞,*,*,*,*,て,テ,テ,おねえさま,0,10
い,動詞,非自立,*,*,一段,連用形,いる,イ,イ,おねえさま,0,10
ます,助動詞,*,*,*,特殊・マス,基本形,ます,マス,マス,おねえさま,0,10
。,記号,句点,*,*,*,*,。,。,。,おねえさま,0,10
「,記号,括弧開,*,*,*,*,「,「,「,おねえさま,0,11
おねえさま,名詞,固有名詞,一般,*,*,*,おねえさま,オネエサマ,オネエサマ,おねえさま,0,11
と,助詞,格助詞,引用,*,*,*,と,ト,ト,おねえさま,0,11
いっ,動詞,自立,*,*,五段・ワ行促音便,連用タ接続,いう,イッ,イッ,おねえさま,0,11
て,助詞,接続助詞,*,*,*,*,て,テ,テ,おねえさま,0,11
も,助詞,係助詞,*,*,*,*,も,モ,モ,おねえさま,0,11
、,記号,読点,*,*,*,*,、,、,、,おねえさま,0,11
