表層形,品詞,品詞細分類(1),品詞細分類(2),品詞細分類(3),活用型,活用形,原形,読み,発音,大見出し,中見出し,小見出し,見出し番号,文番号
じゃ,助詞,副助詞,*,*,*,*,じゃ,ジャ,ジャ,１マントにんぎょうのまき,,,0,10
ない,助動詞,*,*,*,特殊・ナイ,基本形,ない,ナイ,ナイ,１マントにんぎょうのまき,,,0,10
。,記号,句点,*,*,*,*,。,。,。,１マントにんぎょうのまき,,,0,10
たいへん,副詞,助詞類接続,*,*,*,*,たいへん,タイヘン,タイヘン,１マントにんぎょうのまき,,,0,11
ちえ,名詞,固有名詞,人名,名,*,*,ちえ,チエ,チエ,１マントにんぎょうのまき,,,0,11
が,助詞,格助詞,一般,*,*,*,が,ガ,ガ,１マントにんぎょうのまき,,,0,11
ある,動詞,自立,*,*,五段・ラ行,基本形,ある,アル,アル,１マントにんぎょうのまき,,,0,11
の,名詞,非自立,一般,*,*,*,の,ノ,ノ,１マントにんぎょうのまき,,,0,11
だ,助動詞,*,*,*,特殊・ダ,基本形,だ,ダ,ダ,１マントにんぎょうのまき,,,0,11
よ,助詞,終助詞,*,*,*,*,よ,ヨ,ヨ,１マントにんぎょうのまき,,,0,11
。,記号,句点,*,*,*,*,。,。,。,１マントにんぎょうのまき,,,0,11
その,連体詞,*,*,*,*,*,その,ソノ,ソノ,１マントにんぎょうのまき,,,0,12
ちえ,名詞,固有名詞,人名,名,*,*,ちえ,チエ,チエ,１マントにんぎょうのまき,,,0,12
で,助動詞,*,*,*,特殊・ダ,連用形,だ,デ,デ,１マントにんぎょうのまき,,,0,12
、,記号,読点,*,*,*,*,、,、,、,１マントにんぎょうのまき,,,0,12
いろいろ,副詞,助詞類接続,*,*,*,*,いろいろ,イロイロ,イロイロ,１マントにんぎょうのまき,,,0,12
ふしぎ,名詞,形容動詞語幹,*,*,*,*,ふしぎ,フシギ,フシギ,１マントにんぎょうのまき,,,0,12
な,助動詞,*,*,*,特殊・ダ,体言接続,だ,ナ,ナ,１マントにんぎょうのまき,,,0,12
こと,名詞,非自立,一般,*,*,*,こと,コト,コト,１マントにんぎょうのまき,,,0,12
を,助詞,格助詞,一般,*,*,*,を,ヲ,ヲ,１マントにんぎょうのまき,,,0,12
やっ,動詞,自立,*,*,五段・ラ行,連用タ接続,やる,ヤッ,ヤッ,１マントにんぎょうのまき,,,0,12
て,助詞,接続助詞,*,*,*,*,て,テ,テ,１マントにんぎょうのまき,,,0,12
みせる,動詞,非自立,*,*,一段,基本形,みせる,ミセル,ミセル,１マントにんぎょうのまき,,,0,12
ので,助詞,接続助詞,*,*,*,*,ので,ノデ,ノデ,１マントにんぎょうのまき,,,0,12
、,記号,読点,*,*,*,*,、,、,、,１マントにんぎょうのまき,,,0,12
まほうつかい,名詞,固有名詞,一般,*,*,*,まほうつかい,マホウツカイ,マホーツカイ,１マントにんぎょうのまき,,,0,12
の,助詞,連体化,*,*,*,*,の,ノ,ノ,１マントにんぎょうのまき,,,0,12
よう,名詞,非自立,助動詞語幹,*,*,*,よう,ヨウ,ヨー,１マントにんぎょうのまき,,,0,12
に,助詞,副詞化,*,*,*,*,に,ニ,ニ,１マントにんぎょうのまき,,,0,12
みえる,動詞,自立,*,*,一段,基本形,みえる,ミエル,ミエル,１マントにんぎょうのまき,,,0,12
だけ,助詞,副助詞,*,*,*,*,だけ,ダケ,ダケ,１マントにんぎょうのまき,,,0,12
な,助動詞,*,*,*,特殊・ダ,体言接続,だ,ナ,ナ,１マントにんぎょうのまき,,,0,12
の,名詞,非自立,一般,*,*,*,の,ノ,ノ,１マントにんぎょうのまき,,,0,12
さ,助詞,終助詞,*,*,*,*,さ,サ,サ,１マントにんぎょうのまき,,,0,12
」,記号,括弧閉,*,*,*,*,」,」,」,１マントにんぎょうのまき,,,0,12
たけし,名詞,固有名詞,人名,名,*,*,たけし,タケシ,タケシ,１マントにんぎょうのまき,,,0,12
くん,名詞,接尾,人名,*,*,*,くん,クン,クン,１マントにんぎょうのまき,,,0,12
も,助詞,係助詞,*,*,*,*,も,モ,モ,１マントにんぎょうのまき,,,0,12
きみ子,名詞,固有名詞,人名,名,*,*,きみ子,キミコ,キミコ,１マントにんぎょうのまき,,,0,12
ちゃん,名詞,接尾,人名,*,*,*,ちゃん,チャン,チャン,１マントにんぎょうのまき,,,0,12
も,助詞,係助詞,*,*,*,*,も,モ,モ,１マントにんぎょうのまき,,,0,12
、,記号,読点,*,*,*,*,、,、,、,１マントにんぎょうのまき,,,0,12
林,名詞,固有名詞,人名,姓,*,*,林,ハヤシ,ハヤシ,１マントにんぎょうのまき,,,0,12
さん,名詞,接尾,人名,*,*,*,さん,サン,サン,１マントにんぎょうのまき,,,0,12
