表層形,品詞,品詞細分類(1),品詞細分類(2),品詞細分類(3),活用型,活用形,原形,読み,発音,カテゴリー,章番号,文番号
、,記号,読点,*,*,*,*,、,、,、,象の鼻,0,458
おっしゃる,動詞,自立,*,*,五段・ラ行特殊,基本形,おっしゃる,オッシャル,オッシャル,象の鼻,0,458
の,名詞,非自立,一般,*,*,*,の,ノ,ノ,象の鼻,0,458
でし,助動詞,*,*,*,特殊・デス,連用形,です,デシ,デシ,象の鼻,0,458
た,助動詞,*,*,*,特殊・タ,基本形,た,タ,タ,象の鼻,0,458
。,記号,句点,*,*,*,*,。,。,。,象の鼻,0,458
「,記号,括弧開,*,*,*,*,「,「,「,象の鼻,0,459
いいえ,感動詞,*,*,*,*,*,いいえ,イイエ,イーエ,象の鼻,0,459
、,記号,読点,*,*,*,*,、,、,、,象の鼻,0,459
僕,名詞,代名詞,一般,*,*,*,僕,ボク,ボク,象の鼻,0,459
、,記号,読点,*,*,*,*,、,、,、,象の鼻,0,459
いたずら,名詞,サ変接続,*,*,*,*,いたずら,イタズラ,イタズラ,象の鼻,0,459
なんか,助詞,副助詞,*,*,*,*,なんか,ナンカ,ナンカ,象の鼻,0,459
し,動詞,自立,*,*,サ変・スル,連用形,する,シ,シ,象の鼻,0,459
ませ,助動詞,*,*,*,特殊・マス,未然形,ます,マセ,マセ,象の鼻,0,459
ん,助動詞,*,*,*,不変化型,基本形,ん,ン,ン,象の鼻,0,459
よ,助詞,終助詞,*,*,*,*,よ,ヨ,ヨ,象の鼻,0,459
。,記号,句点,*,*,*,*,。,。,。,象の鼻,0,459
でも,助詞,副助詞,*,*,*,*,でも,デモ,デモ,象の鼻,0,460
ね,助詞,終助詞,*,*,*,*,ね,ネ,ネ,象の鼻,0,460
、,記号,読点,*,*,*,*,、,、,、,象の鼻,0,460
お祖父さん,名詞,一般,*,*,*,*,お祖父さん,オジイサン,オジーサン,象の鼻,0,460
、,記号,読点,*,*,*,*,、,、,、,象の鼻,0,460
僕,名詞,代名詞,一般,*,*,*,僕,ボク,ボク,象の鼻,0,460
が,助詞,格助詞,一般,*,*,*,が,ガ,ガ,象の鼻,0,460
