表層形,品詞,品詞細分類(1),品詞細分類(2),品詞細分類(3),活用型,活用形,原形,読み,発音,大見出し,中見出し,小見出し,見出し番号,文番号
で,助詞,接続助詞,*,*,*,*,で,デ,デ,,,,0,26
、,記号,読点,*,*,*,*,、,、,、,,,,0,26
着,名詞,サ変接続,*,*,*,*,着,チャク,チャク,,,,0,26
換え,名詞,一般,*,*,*,*,換え,カエ,カエ,,,,0,26
を,助詞,格助詞,一般,*,*,*,を,ヲ,ヲ,,,,0,26
する,動詞,自立,*,*,サ変・スル,基本形,する,スル,スル,,,,0,26
着物,名詞,一般,*,*,*,*,着物,キモノ,キモノ,,,,0,26
から,助詞,格助詞,一般,*,*,*,から,カラ,カラ,,,,0,26
でも,助詞,副助詞,*,*,*,*,でも,デモ,デモ,,,,0,26
、,記号,読点,*,*,*,*,、,、,、,,,,0,26
充分,名詞,形容動詞語幹,*,*,*,*,充分,ジュウブン,ジューブン,,,,0,26
に,助詞,副詞化,*,*,*,*,に,ニ,ニ,,,,0,26
想像,名詞,サ変接続,*,*,*,*,想像,ソウゾウ,ソーゾー,,,,0,26
する,動詞,自立,*,*,サ変・スル,基本形,する,スル,スル,,,,0,26
こと,名詞,非自立,一般,*,*,*,こと,コト,コト,,,,0,26
が,助詞,格助詞,一般,*,*,*,が,ガ,ガ,,,,0,26
出来る,動詞,自立,*,*,一段,基本形,出来る,デキル,デキル,,,,0,26
の,名詞,非自立,一般,*,*,*,の,ノ,ノ,,,,0,26
だ,助動詞,*,*,*,特殊・ダ,基本形,だ,ダ,ダ,,,,0,26
し,助詞,接続助詞,*,*,*,*,し,シ,シ,,,,0,26
、,記号,読点,*,*,*,*,、,、,、,,,,0,26
又,接続詞,*,*,*,*,*,又,マタ,マタ,,,,0,26
彼,名詞,代名詞,一般,*,*,*,彼,カレ,カレ,,,,0,26
と,助詞,格助詞,一般,*,*,*,と,ト,ト,,,,0,26
道づれ,名詞,一般,*,*,*,*,道づれ,ミチヅレ,ミチズレ,,,,0,26
に,助詞,格助詞,一般,*,*,*,に,ニ,ニ,,,,0,26
なっ,動詞,自立,*,*,五段・ラ行,連用タ接続,なる,ナッ,ナッ,,,,0,26
て,助詞,接続助詞,*,*,*,*,て,テ,テ,,,,0,26
、,記号,読点,*,*,*,*,、,、,、,,,,0,26
露店,名詞,一般,*,*,*,*,露店,ロテン,ロテン,,,,0,26
の,助詞,連体化,*,*,*,*,の,ノ,ノ,,,,0,26
前,名詞,副詞可能,*,*,*,*,前,マエ,マエ,,,,0,26
など,助詞,副助詞,*,*,*,*,など,ナド,ナド,,,,0,26
を,助詞,格助詞,一般,*,*,*,を,ヲ,ヲ,,,,0,26
通る,動詞,自立,*,*,五段・ラ行,基本形,通る,トオル,トール,,,,0,26
時,名詞,非自立,副詞可能,*,*,*,時,トキ,トキ,,,,0,26
、,記号,読点,*,*,*,*,、,、,、,,,,0,26
彼女,名詞,代名詞,一般,*,*,*,彼女,カノジョ,カノジョ,,,,0,26
が,助詞,格助詞,一般,*,*,*,が,ガ,ガ,,,,0,26
目,名詞,一般,*,*,*,*,目,メ,メ,,,,0,26
を,助詞,格助詞,一般,*,*,*,を,ヲ,ヲ,,,,0,26
光らせ,動詞,自立,*,*,一段,連用形,光らせる,ヒカラセ,ヒカラセ,,,,0,26
て,助詞,接続助詞,*,*,*,*,て,テ,テ,,,,0,26
、,記号,読点,*,*,*,*,、,、,、,,,,0,26
さも,副詞,一般,*,*,*,*,さも,サモ,サモ,,,,0,26
欲し,形容詞,自立,*,*,形容詞・イ段,ガル接続,欲しい,ホシ,ホシ,,,,0,26
相,名詞,接尾,一般,*,*,*,相,ショウ,ショー,,,,0,26
に,助詞,格助詞,一般,*,*,*,に,ニ,ニ,,,,0,26
覗い,動詞,自立,*,*,五段・カ行イ音便,連用タ接続,覗く,ノゾイ,ノゾイ,,,,0,26
て,助詞,接続助詞,*,*,*,*,て,テ,テ,,,,0,26
いる,動詞,非自立,*,*,一段,基本形,いる,イル,イル,,,,0,26
装身具,名詞,一般,*,*,*,*,装身具,ソウシング,ソーシング,,,,0,26
の,助詞,連体化,*,*,*,*,の,ノ,ノ,,,,0,26
類,名詞,一般,*,*,*,*,類,ルイ,ルイ,,,,0,26
を,助詞,格助詞,一般,*,*,*,を,ヲ,ヲ,,,,0,26
見,動詞,自立,*,*,一段,連用形,見る,ミ,ミ,,,,0,26
て,助詞,接続助詞,*,*,*,*,て,テ,テ,,,,0,26
も,助詞,係助詞,*,*,*,*,も,モ,モ,,,,0,26
、,記号,読点,*,*,*,*,、,、,、,,,,0,26
「,記号,括弧開,*,*,*,*,「,「,「,,,,0,26
あれ,名詞,代名詞,一般,*,*,*,あれ,アレ,アレ,,,,0,26
、,記号,読点,*,*,*,*,、,、,、,,,,0,26
いい,形容詞,自立,*,*,形容詞・イイ,基本形,いい,イイ,イイ,,,,0,26
わ,助詞,終助詞,*,*,*,*,わ,ワ,ワ,,,,0,26
ねえ,助詞,終助詞,*,*,*,*,ねえ,ネエ,ネー,,,,0,26
」,記号,括弧閉,*,*,*,*,」,」,」,,,,0,26
など,助詞,副助詞,*,*,*,*,など,ナド,ナド,,,,0,26
と,助詞,格助詞,引用,*,*,*,と,ト,ト,,,,0,26
、,記号,読点,*,*,*,*,、,、,、,,,,0,26
往来,名詞,サ変接続,*,*,*,*,往来,オウライ,オーライ,,,,0,26
の,助詞,連体化,*,*,*,*,の,ノ,ノ,,,,0,26
町家,名詞,一般,*,*,*,*,町家,マチヤ,マチヤ,,,,0,26
の,助詞,連体化,*,*,*,*,の,ノ,ノ,,,,0,26
娘,名詞,固有名詞,一般,*,*,*,娘。,ムスメ,ムスメ,,,,0,26
達,名詞,接尾,一般,*,*,*,達,タチ,タチ,,,,0,26
の,助詞,連体化,*,*,*,*,の,ノ,ノ,,,,0,26
身なり,名詞,一般,*,*,*,*,身なり,ミナリ,ミナリ,,,,0,26
を,助詞,格助詞,一般,*,*,*,を,ヲ,ヲ,,,,0,26
羨望,名詞,サ変接続,*,*,*,*,羨望,センボウ,センボー,,,,0,26
する,動詞,自立,*,*,サ変・スル,基本形,する,スル,スル,,,,0,26
言葉,名詞,一般,*,*,*,*,言葉,コトバ,コトバ,,,,0,26
を,助詞,格助詞,一般,*,*,*,を,ヲ,ヲ,,,,0,26
聞い,動詞,自立,*,*,五段・カ行イ音便,連用タ接続,聞く,キイ,キイ,,,,0,26
て,助詞,接続助詞,*,*,*,*,て,テ,テ,,,,0,26
も,助詞,係助詞,*,*,*,*,も,モ,モ,,,,0,26
、,記号,読点,*,*,*,*,、,、,、,,,,0,26
可哀相,名詞,形容動詞語幹,*,*,*,*,可哀相,カワイソウ,カワイソー,,,,0,26
に,助詞,副詞化,*,*,*,*,に,ニ,ニ,,,,0,26
彼女,名詞,代名詞,一般,*,*,*,彼女,カノジョ,カノジョ,,,,0,26
の,助詞,連体化,*,*,*,*,の,ノ,ノ,,,,0,26
お里,名詞,一般,*,*,*,*,お里,オサト,オサト,,,,0,26
は,助詞,係助詞,*,*,*,*,は,ハ,ワ,,,,0,26
、,記号,読点,*,*,*,*,、,、,、,,,,0,26
すぐ,副詞,助詞類接続,*,*,*,*,すぐ,スグ,スグ,,,,0,26
に,助詞,副詞化,*,*,*,*,に,ニ,ニ,,,,0,26
知れ,動詞,自立,*,*,一段,連用形,知れる,シレ,シレ,,,,0,26
て,助詞,接続助詞,*,*,*,*,て,テ,テ,,,,0,26
了,名詞,固有名詞,人名,名,*,*,了,リョウ,リョー,,,,0,26
うの,名詞,固有名詞,人名,名,*,*,うの,ウノ,ウノ,,,,0,26
で,助動詞,*,*,*,特殊・ダ,連用形,だ,デ,デ,,,,0,26
あっ,助動詞,*,*,*,五段・ラ行アル,連用タ接続,ある,アッ,アッ,,,,0,26
た,助動詞,*,*,*,特殊・タ,基本形,た,タ,タ,,,,0,26
。,記号,句点,*,*,*,*,。,。,。,,,,0,26
だから,接続詞,*,*,*,*,*,だから,ダカラ,ダカラ,,,,0,27
、,記号,読点,*,*,*,*,、,、,、,,,,0,27
格,名詞,一般,*,*,*,*,格,カク,カク,,,,0,27
二,名詞,数,*,*,*,*,二,ニ,ニ,,,,0,27
郎,名詞,一般,*,*,*,*,郎,ロウ,ロー,,,,0,27
にとって,助詞,格助詞,連語,*,*,*,にとって,ニトッテ,ニトッテ,,,,0,27
、,記号,読点,*,*,*,*,、,、,、,,,,0,27
彼女,名詞,代名詞,一般,*,*,*,彼女,カノジョ,カノジョ,,,,0,27
の,助詞,連体化,*,*,*,*,の,ノ,ノ,,,,0,27
歓心,名詞,一般,*,*,*,*,歓心,カンシン,カンシン,,,,0,27
を,助詞,格助詞,一般,*,*,*,を,ヲ,ヲ,,,,0,27
買う,動詞,自立,*,*,五段・ワ行促音便,基本形,買う,カウ,カウ,,,,0,27
こと,名詞,非自立,一般,*,*,*,こと,コト,コト,,,,0,27
は,助詞,係助詞,*,*,*,*,は,ハ,ワ,,,,0,27
、,記号,読点,*,*,*,*,、,、,、,,,,0,27
彼,名詞,代名詞,一般,*,*,*,彼,カレ,カレ,,,,0,27
の,助詞,格助詞,一般,*,*,*,の,ノ,ノ,,,,0,27
軽い,形容詞,自立,*,*,形容詞・アウオ段,基本形,軽い,カルイ,カルイ,,,,0,27
財布,名詞,一般,*,*,*,*,財布,サイフ,サイフ,,,,0,27
を以て,助詞,格助詞,連語,*,*,*,を以て,ヲモッテ,ヲモッテ,,,,0,27
し,動詞,自立,*,*,サ変・スル,連用形,する,シ,シ,,,,0,27
て,助詞,接続助詞,*,*,*,*,て,テ,テ,,,,0,27
も,助詞,係助詞,*,*,*,*,も,モ,モ,,,,0,27
、,記号,読点,*,*,*,*,、,、,、,,,,0,27
ある程度,副詞,助詞類接続,*,*,*,*,ある程度,アルテイド,アルテイド,,,,0,27
まで,助詞,副助詞,*,*,*,*,まで,マデ,マデ,,,,0,27
は,助詞,係助詞,*,*,*,*,は,ハ,ワ,,,,0,27
さして,名詞,一般,*,*,*,*,指し手,サシテ,サシテ,,,,0,27
難しい,形容詞,自立,*,*,形容詞・イ段,基本形,難しい,ムズカシイ,ムズカシイ,,,,0,27
訳,名詞,非自立,一般,*,*,*,訳,ワケ,ワケ,,,,0,27
で,助動詞,*,*,*,特殊・ダ,連用形,だ,デ,デ,,,,0,27
も,助詞,係助詞,*,*,*,*,も,モ,モ,,,,0,27
ない,形容詞,自立,*,*,形容詞・アウオ段,基本形,ない,ナイ,ナイ,,,,0,27
の,名詞,非自立,一般,*,*,*,の,ノ,ノ,,,,0,27
だ,助動詞,*,*,*,特殊・ダ,基本形,だ,ダ,ダ,,,,0,27
。,記号,句点,*,*,*,*,。,。,。,,,,0,27
一本,名詞,固有名詞,地域,一般,*,*,一本,イッポン,イッポン,,,,0,28
の,助詞,連体化,*,*,*,*,の,ノ,ノ,,,,0,28
花かんざし,名詞,一般,*,*,*,*,花かんざし,ハナカンザシ,ハナカンザシ,,,,0,28
、,記号,読点,*,*,*,*,、,、,、,,,,0,28
一杯,名詞,一般,*,*,*,*,一杯,イッパイ,イッパイ,,,,0,28
の,助詞,連体化,*,*,*,*,の,ノ,ノ,,,,0,28
おしるこ,名詞,固有名詞,一般,*,*,*,おしるこ,オシルコ,オシルコ,,,,0,28
、,記号,読点,*,*,*,*,、,、,、,,,,0,28
そんな,連体詞,*,*,*,*,*,そんな,ソンナ,ソンナ,,,,0,28
もの,名詞,非自立,一般,*,*,*,もの,モノ,モノ,,,,0,28
に,助詞,格助詞,一般,*,*,*,に,ニ,ニ,,,,0,28
でも,助詞,副助詞,*,*,*,*,でも,デモ,デモ,,,,0,28
、,記号,読点,*,*,*,*,、,、,、,,,,0,28
彼女,名詞,代名詞,一般,*,*,*,彼女,カノジョ,カノジョ,,,,0,28
は,助詞,係助詞,*,*,*,*,は,ハ,ワ,,,,0,28
充分,副詞,一般,*,*,*,*,充分,ジュウブン,ジューブン,,,,0,28
、,記号,読点,*,*,*,*,、,、,、,,,,0,28
彼,名詞,代名詞,一般,*,*,*,彼,カレ,カレ,,,,0,28
の,助詞,連体化,*,*,*,*,の,ノ,ノ,,,,0,28
為,名詞,非自立,副詞可能,*,*,*,為,タメ,タメ,,,,0,28
に,助詞,格助詞,一般,*,*,*,に,ニ,ニ,,,,0,28
可憐,名詞,形容動詞語幹,*,*,*,*,可憐,カレン,カレン,,,,0,28
な,助動詞,*,*,*,特殊・ダ,体言接続,だ,ナ,ナ,,,,0,28
笑顔,名詞,一般,*,*,*,*,笑顔,エガオ,エガオ,,,,0,28
を,助詞,格助詞,一般,*,*,*,を,ヲ,ヲ,,,,0,28
見せ,動詞,自立,*,*,一段,連用形,見せる,ミセ,ミセ,,,,0,28
て,助詞,接続助詞,*,*,*,*,て,テ,テ,,,,0,28
呉れる,動詞,自立,*,*,一段・クレル,基本形,呉れる,クレル,クレル,,,,0,28
の,名詞,非自立,一般,*,*,*,の,ノ,ノ,,,,0,28
で,助動詞,*,*,*,特殊・ダ,連用形,だ,デ,デ,,,,0,28
