表層形,品詞,品詞細分類(1),品詞細分類(2),品詞細分類(3),活用型,活用形,原形,読み,発音,大見出し,中見出し,小見出し,見出し番号,文番号
初め,動詞,自立,*,*,一段,連用形,初める,ソメ,ソメ,,発表者の附記,,0,6
た,助動詞,*,*,*,特殊・タ,基本形,た,タ,タ,,発表者の附記,,0,6
が,助詞,接続助詞,*,*,*,*,が,ガ,ガ,,発表者の附記,,0,6
、,記号,読点,*,*,*,*,、,、,、,,発表者の附記,,0,6
読む,動詞,自立,*,*,五段・マ行,基本形,読む,ヨム,ヨム,,発表者の附記,,0,6
に従って,助詞,格助詞,連語,*,*,*,に従って,ニシタガッテ,ニシタガッテ,,発表者の附記,,0,6
、,記号,読点,*,*,*,*,、,、,、,,発表者の附記,,0,6
非常,名詞,形容動詞語幹,*,*,*,*,非常,ヒジョウ,ヒジョー,,発表者の附記,,0,6
な,助動詞,*,*,*,特殊・ダ,体言接続,だ,ナ,ナ,,発表者の附記,,0,6
掘出しもの,名詞,一般,*,*,*,*,掘出しもの,ホリダシモノ,ホリダシモノ,,発表者の附記,,0,6
を,助詞,格助詞,一般,*,*,*,を,ヲ,ヲ,,発表者の附記,,0,6
し,動詞,自立,*,*,サ変・スル,連用形,する,シ,シ,,発表者の附記,,0,6
た,助動詞,*,*,*,特殊・タ,基本形,た,タ,タ,,発表者の附記,,0,6
こと,名詞,非自立,一般,*,*,*,こと,コト,コト,,発表者の附記,,0,6
が,助詞,格助詞,一般,*,*,*,が,ガ,ガ,,発表者の附記,,0,6
分っ,動詞,自立,*,*,五段・ラ行,連用タ接続,分る,ワカッ,ワカッ,,発表者の附記,,0,6
て,助詞,接続助詞,*,*,*,*,て,テ,テ,,発表者の附記,,0,6
来,動詞,非自立,*,*,カ変・来ル,連用形,来る,キ,キ,,発表者の附記,,0,6
た,助動詞,*,*,*,特殊・タ,基本形,た,タ,タ,,発表者の附記,,0,6
。,記号,句点,*,*,*,*,。,。,。,,発表者の附記,,0,6
私,名詞,代名詞,一般,*,*,*,私,ワタシ,ワタシ,,発表者の附記,,0,7
は,助詞,係助詞,*,*,*,*,は,ハ,ワ,,発表者の附記,,0,7
その,連体詞,*,*,*,*,*,その,ソノ,ソノ,,発表者の附記,,0,7
晩,名詞,副詞可能,*,*,*,*,晩,バン,バン,,発表者の附記,,0,7
、,記号,読点,*,*,*,*,、,、,、,,発表者の附記,,0,7
とうとう,副詞,一般,*,*,*,*,とうとう,トウトウ,トートー,,発表者の附記,,0,7
徹夜,名詞,サ変接続,*,*,*,*,徹夜,テツヤ,テツヤ,,発表者の附記,,0,7
を,助詞,格助詞,一般,*,*,*,を,ヲ,ヲ,,発表者の附記,,0,7
