表層形,品詞,品詞細分類(1),品詞細分類(2),品詞細分類(3),活用型,活用形,原形,読み,発音,カテゴリー,章番号,文番号
は,助詞,係助詞,*,*,*,*,は,ハ,ワ,しのびよる怪物,3,8
ひとりぼっち,名詞,固有名詞,一般,*,*,*,ひとりぼっち,ヒトリボッチ,ヒトリボッチ,しのびよる怪物,3,8
な,助動詞,*,*,*,特殊・ダ,体言接続,だ,ナ,ナ,しのびよる怪物,3,8
の,名詞,非自立,一般,*,*,*,の,ノ,ノ,しのびよる怪物,3,8
です,助動詞,*,*,*,特殊・デス,基本形,です,デス,デス,しのびよる怪物,3,8
。,記号,句点,*,*,*,*,。,。,。,しのびよる怪物,3,8
いっしんに,副詞,一般,*,*,*,*,いっしんに,イッシンニ,イッシンニ,しのびよる怪物,3,9
本,名詞,一般,*,*,*,*,本,ホン,ホン,しのびよる怪物,3,9
を,助詞,格助詞,一般,*,*,*,を,ヲ,ヲ,しのびよる怪物,3,9
読ん,動詞,自立,*,*,五段・マ行,連用タ接続,読む,ヨン,ヨン,しのびよる怪物,3,9
で,助詞,接続助詞,*,*,*,*,で,デ,デ,しのびよる怪物,3,9
い,動詞,非自立,*,*,一段,連用形,いる,イ,イ,しのびよる怪物,3,9
ます,助動詞,*,*,*,特殊・マス,基本形,ます,マス,マス,しのびよる怪物,3,9
と,助詞,接続助詞,*,*,*,*,と,ト,ト,しのびよる怪物,3,9
、,記号,読点,*,*,*,*,、,、,、,しのびよる怪物,3,9
机,名詞,一般,*,*,*,*,机,ツクエ,ツクエ,しのびよる怪物,3,9
の,助詞,連体化,*,*,*,*,の,ノ,ノ,しのびよる怪物,3,9
上,名詞,非自立,副詞可能,*,*,*,上,ウエ,ウエ,しのびよる怪物,3,9
の,助詞,連体化,*,*,*,*,の,ノ,ノ,しのびよる怪物,3,9
どこか,名詞,一般,*,*,*,*,どこか,ドコカ,ドコカ,しのびよる怪物,3,9
で,助詞,格助詞,一般,*,*,*,で,デ,デ,しのびよる怪物,3,9
、,記号,読点,*,*,*,*,、,、,、,しのびよる怪物,3,9
カリカリ,名詞,形容動詞語幹,*,*,*,*,カリカリ,カリカリ,カリカリ,しのびよる怪物,3,9
と,助詞,格助詞,引用,*,*,*,と,ト,ト,しのびよる怪物,3,9
、,記号,読点,*,*,*,*,、,、,、,しのびよる怪物,3,9
物,名詞,一般,*,*,*,*,物,モノ,モノ,しのびよる怪物,3,9
を,助詞,格助詞,一般,*,*,*,を,ヲ,ヲ,しのびよる怪物,3,9
ひっかく,動詞,自立,*,*,五段・カ行イ音便,基本形,ひっかく,ヒッカク,ヒッカク,しのびよる怪物,3,9
よう,名詞,非自立,助動詞語幹,*,*,*,よう,ヨウ,ヨー,しのびよる怪物,3,9
な,助動詞,*,*,*,特殊・ダ,体言接続,だ,ナ,ナ,しのびよる怪物,3,9
、,記号,読点,*,*,*,*,、,、,、,しのびよる怪物,3,9
かすか,名詞,形容動詞語幹,*,*,*,*,かすか,カスカ,カスカ,しのびよる怪物,3,9
な,助動詞,*,*,*,特殊・ダ,体言接続,だ,ナ,ナ,しのびよる怪物,3,9
音,名詞,一般,*,*,*,*,音,オト,オト,しのびよる怪物,3,9
が,助詞,格助詞,一般,*,*,*,が,ガ,ガ,しのびよる怪物,3,9
し,動詞,自立,*,*,サ変・スル,連用形,する,シ,シ,しのびよる怪物,3,9
まし,助動詞,*,*,*,特殊・マス,連用形,ます,マシ,マシ,しのびよる怪物,3,9
た,助動詞,*,*,*,特殊・タ,基本形,た,タ,タ,しのびよる怪物,3,9
。,記号,句点,*,*,*,*,。,。,。,しのびよる怪物,3,9
へん,名詞,一般,*,*,*,*,へん,ヘン,ヘン,しのびよる怪物,3,10
だ,助動詞,*,*,*,特殊・ダ,基本形,だ,ダ,ダ,しのびよる怪物,3,10
な,助詞,終助詞,*,*,*,*,な,ナ,ナ,しのびよる怪物,3,10
と,助詞,格助詞,引用,*,*,*,と,ト,ト,しのびよる怪物,3,10
おもっ,動詞,自立,*,*,五段・ワ行促音便,連用タ接続,おもう,オモッ,オモッ,しのびよる怪物,3,10
て,助詞,接続助詞,*,*,*,*,て,テ,テ,しのびよる怪物,3,10
、,記号,読点,*,*,*,*,、,、,、,しのびよる怪物,3,10
その,連体詞,*,*,*,*,*,その,ソノ,ソノ,しのびよる怪物,3,10
へん,名詞,非自立,一般,*,*,*,へん,ヘン,ヘン,しのびよる怪物,3,10
