表層形,品詞,品詞細分類(1),品詞細分類(2),品詞細分類(3),活用型,活用形,原形,読み,発音,大見出し,中見出し,小見出し,見出し番号,文番号
まし,助動詞,*,*,*,特殊・マス,連用形,ます,マシ,マシ,,６,,5,39
た,助動詞,*,*,*,特殊・タ,基本形,た,タ,タ,,６,,5,39
。,記号,句点,*,*,*,*,。,。,。,,６,,5,39
ノロ,名詞,一般,*,*,*,*,ノロ,ノロ,ノロ,,６,,5,40
ちゃん,名詞,接尾,人名,*,*,*,ちゃん,チャン,チャン,,６,,5,40
は,助詞,係助詞,*,*,*,*,は,ハ,ワ,,６,,5,40
、,記号,読点,*,*,*,*,、,、,、,,６,,5,40
木のぼり,名詞,サ変接続,*,*,*,*,木登り,キノボリ,キノボリ,,６,,5,40
の,助詞,連体化,*,*,*,*,の,ノ,ノ,,６,,5,40
めいじん,名詞,一般,*,*,*,*,名人,メイジン,メイジン,,６,,5,40
で,助詞,格助詞,一般,*,*,*,で,デ,デ,,６,,5,40
、,記号,読点,*,*,*,*,、,、,、,,６,,5,40
きょう,名詞,副詞可能,*,*,*,*,きょう,キョウ,キョー,,６,,5,40
は,助詞,係助詞,*,*,*,*,は,ハ,ワ,,６,,5,40
、,記号,読点,*,*,*,*,、,、,、,,６,,5,40
スギ,名詞,一般,*,*,*,*,スギ,スギ,スギ,,６,,5,40
の,助詞,連体化,*,*,*,*,の,ノ,ノ,,６,,5,40
木,名詞,一般,*,*,*,*,木,キ,キ,,６,,5,40
に,助詞,格助詞,一般,*,*,*,に,ニ,ニ,,６,,5,40
のぼら,動詞,自立,*,*,五段・ラ行,未然形,のぼる,ノボラ,ノボラ,,６,,5,40
なけれ,助動詞,*,*,*,特殊・ナイ,仮定形,ない,ナケレ,ナケレ,,６,,5,40
ば,助詞,接続助詞,*,*,*,*,ば,バ,バ,,６,,5,40
なら,動詞,非自立,*,*,五段・ラ行,未然形,なる,ナラ,ナラ,,６,,5,40
ない,助動詞,*,*,*,特殊・ナイ,基本形,ない,ナイ,ナイ,,６,,5,40
だろ,助動詞,*,*,*,特殊・ダ,未然形,だ,ダロ,ダロ,,６,,5,40
う,助動詞,*,*,*,不変化型,基本形,う,ウ,ウ,,６,,5,40
と,助詞,格助詞,引用,*,*,*,と,ト,ト,,６,,5,40
思っ,動詞,自立,*,*,五段・ワ行促音便,連用タ接続,思う,オモッ,オモッ,,６,,5,40
て,助詞,接続助詞,*,*,*,*,て,テ,テ,,６,,5,40
、,記号,読点,*,*,*,*,、,、,、,,６,,5,40
その,連体詞,*,*,*,*,*,その,ソノ,ソノ,,６,,5,40
ようい,名詞,形容動詞語幹,*,*,*,*,容易,ヨウイ,ヨウイ,,６,,5,40
を,助詞,格助詞,一般,*,*,*,を,ヲ,ヲ,,６,,5,40
し,動詞,自立,*,*,サ変・スル,連用形,する,シ,シ,,６,,5,40
て,助詞,接続助詞,*,*,*,*,て,テ,テ,,６,,5,40
き,動詞,非自立,*,*,カ変・クル,連用形,くる,キ,キ,,６,,5,40
た,助動詞,*,*,*,特殊・タ,基本形,た,タ,タ,,６,,5,40
の,名詞,非自立,一般,*,*,*,の,ノ,ノ,,６,,5,40
です,助動詞,*,*,*,特殊・デス,基本形,です,デス,デス,,６,,5,40
。,記号,句点,*,*,*,*,。,。,。,,６,,5,40
ノロ,名詞,一般,*,*,*,*,ノロ,ノロ,ノロ,,６,,5,41
ちゃん,名詞,接尾,人名,*,*,*,ちゃん,チャン,チャン,,６,,5,41
は,助詞,係助詞,*,*,*,*,は,ハ,ワ,,６,,5,41
、,記号,読点,*,*,*,*,、,、,、,,６,,5,41
なげ,名詞,一般,*,*,*,*,無下,ナゲ,ナゲ,,６,,5,41
な,助動詞,*,*,*,特殊・ダ,体言接続,だ,ナ,ナ,,６,,5,41
わ,助詞,終助詞,*,*,*,*,わ,ワ,ワ,,６,,5,41
も,助詞,係助詞,*,*,*,*,も,モ,モ,,６,,5,41
じょうず,名詞,一般,*,*,*,*,じょうず,ジョウズ,ジョーズ,,６,,5,41
でし,助動詞,*,*,*,特殊・デス,連用形,です,デシ,デシ,,６,,5,41
た,助動詞,*,*,*,特殊・タ,基本形,た,タ,タ,,６,,5,41
。,記号,句点,*,*,*,*,。,。,。,,６,,5,41
その,連体詞,*,*,*,*,*,その,ソノ,ソノ,,６,,5,42
長い,形容詞,自立,*,*,形容詞・アウオ段,基本形,長い,ナガイ,ナガイ,,６,,5,42
な,助詞,終助詞,*,*,*,*,な,ナ,ナ,,６,,5,42
わ,名詞,一般,*,*,*,*,わ,ワ,ワ,,６,,5,42
を,助詞,格助詞,一般,*,*,*,を,ヲ,ヲ,,６,,5,42
、,記号,読点,*,*,*,*,、,、,、,,６,,5,42
くるくる,副詞,一般,*,*,*,*,くるくる,クルクル,クルクル,,６,,5,42
と,助詞,副詞化,*,*,*,*,と,ト,ト,,６,,5,42
まわし,動詞,自立,*,*,五段・サ行,連用形,まわす,マワシ,マワシ,,６,,5,42
て,助詞,接続助詞,*,*,*,*,て,テ,テ,,６,,5,42
、,記号,読点,*,*,*,*,、,、,、,,６,,5,42
ぱっと,副詞,一般,*,*,*,*,ぱっと,パット,パット,,６,,5,42
スギ,名詞,一般,*,*,*,*,スギ,スギ,スギ,,６,,5,42
の,助詞,連体化,*,*,*,*,の,ノ,ノ,,６,,5,42
木,名詞,一般,*,*,*,*,木,キ,キ,,６,,5,42
の,助詞,格助詞,一般,*,*,*,の,ノ,ノ,,６,,5,42
高い,形容詞,自立,*,*,形容詞・アウオ段,基本形,高い,タカイ,タカイ,,６,,5,42
えだ,名詞,固有名詞,一般,*,*,*,えだ,エダ,エダ,,６,,5,42
に,助詞,格助詞,一般,*,*,*,に,ニ,ニ,,６,,5,42
なげかけ,動詞,自立,*,*,一段,連用形,なげかける,ナゲカケ,ナゲカケ,,６,,5,42
まし,助動詞,*,*,*,特殊・マス,連用形,ます,マシ,マシ,,６,,5,42
た,助動詞,*,*,*,特殊・タ,基本形,た,タ,タ,,６,,5,42
。,記号,句点,*,*,*,*,。,。,。,,６,,5,42
そして,接続詞,*,*,*,*,*,そして,ソシテ,ソシテ,,６,,5,43
、,記号,読点,*,*,*,*,、,、,、,,６,,5,43
一方,名詞,副詞可能,*,*,*,*,一方,イッポウ,イッポー,,６,,5,43
の,助詞,連体化,*,*,*,*,の,ノ,ノ,,６,,5,43
はし,名詞,一般,*,*,*,*,はし,ハシ,ハシ,,６,,5,43
を,助詞,格助詞,一般,*,*,*,を,ヲ,ヲ,,６,,5,43
、,記号,読点,*,*,*,*,、,、,、,,６,,5,43
自分,名詞,一般,*,*,*,*,自分,ジブン,ジブン,,６,,5,43
の,助詞,連体化,*,*,*,*,の,ノ,ノ,,６,,5,43
からだ,名詞,一般,*,*,*,*,からだ,カラダ,カラダ,,６,,5,43
に,助詞,格助詞,一般,*,*,*,に,ニ,ニ,,６,,5,43
しばりつけ,動詞,自立,*,*,一段,連用形,しばりつける,シバリツケ,シバリツケ,,６,,5,43
、,記号,読点,*,*,*,*,、,、,、,,６,,5,43
一方,名詞,副詞可能,*,*,*,*,一方,イッポウ,イッポー,,６,,5,43
の,助詞,連体化,*,*,*,*,の,ノ,ノ,,６,,5,43
はし,名詞,一般,*,*,*,*,はし,ハシ,ハシ,,６,,5,43
を,助詞,格助詞,一般,*,*,*,を,ヲ,ヲ,,６,,5,43
、,記号,読点,*,*,*,*,、,、,、,,６,,5,43
みんな,名詞,代名詞,一般,*,*,*,みんな,ミンナ,ミンナ,,６,,5,43
に,助詞,格助詞,一般,*,*,*,に,ニ,ニ,,６,,5,43
ひっぱっ,動詞,自立,*,*,五段・ラ行,連用タ接続,ひっぱる,ヒッパッ,ヒッパッ,,６,,5,43
て,助詞,接続助詞,*,*,*,*,て,テ,テ,,６,,5,43
もらう,動詞,非自立,*,*,五段・ワ行促音便,基本形,もらう,モラウ,モラウ,,６,,5,43
の,名詞,非自立,一般,*,*,*,の,ノ,ノ,,６,,5,43
です,助動詞,*,*,*,特殊・デス,基本形,です,デス,デス,,６,,5,43
。,記号,句点,*,*,*,*,。,。,。,,６,,5,43
つ,助動詞,*,*,*,下二・タ行,基本形,つ,ツ,ツ,,６,,5,44
な,助詞,終助詞,*,*,*,*,な,ナ,ナ,,６,,5,44
ひき,動詞,自立,*,*,五段・カ行イ音便,連用形,ひく,ヒキ,ヒキ,,６,,5,44
みたい,名詞,非自立,形容動詞語幹,*,*,*,みたい,ミタイ,ミタイ,,６,,5,44
に,助詞,副詞化,*,*,*,*,に,ニ,ニ,,６,,5,44
、,記号,読点,*,*,*,*,、,、,、,,６,,5,44
みんな,名詞,代名詞,一般,*,*,*,みんな,ミンナ,ミンナ,,６,,5,44
が,助詞,格助詞,一般,*,*,*,が,ガ,ガ,,６,,5,44
なわ,動詞,自立,*,*,五段・ワ行促音便,未然形,なう,ナワ,ナワ,,６,,5,44
を,助詞,格助詞,一般,*,*,*,を,ヲ,ヲ,,６,,5,44
ひっぱる,動詞,自立,*,*,五段・ラ行,基本形,ひっぱる,ヒッパル,ヒッパル,,６,,5,44
と,助詞,接続助詞,*,*,*,*,と,ト,ト,,６,,5,44
、,記号,読点,*,*,*,*,、,、,、,,６,,5,44
ノロ,名詞,一般,*,*,*,*,ノロ,ノロ,ノロ,,６,,5,44
ちゃん,名詞,接尾,人名,*,*,*,ちゃん,チャン,チャン,,６,,5,44
は,助詞,係助詞,*,*,*,*,は,ハ,ワ,,６,,5,44
それ,名詞,代名詞,一般,*,*,*,それ,ソレ,ソレ,,６,,5,44
を,助詞,格助詞,一般,*,*,*,を,ヲ,ヲ,,６,,5,44
力,名詞,一般,*,*,*,*,力,チカラ,チカラ,,６,,5,44
に,助詞,格助詞,一般,*,*,*,に,ニ,ニ,,６,,5,44
し,動詞,自立,*,*,サ変・スル,連用形,する,シ,シ,,６,,5,44
て,助詞,接続助詞,*,*,*,*,て,テ,テ,,６,,5,44
、,記号,読点,*,*,*,*,、,、,、,,６,,5,44
ふとい,形容詞,自立,*,*,形容詞・アウオ段,基本形,ふとい,フトイ,フトイ,,６,,5,44
スギ,名詞,一般,*,*,*,*,スギ,スギ,スギ,,６,,5,44
の,助詞,連体化,*,*,*,*,の,ノ,ノ,,６,,5,44
みき,名詞,固有名詞,人名,名,*,*,みき,ミキ,ミキ,,６,,5,44
を,助詞,格助詞,一般,*,*,*,を,ヲ,ヲ,,６,,5,44
、,記号,読点,*,*,*,*,、,、,、,,６,,5,44
するする,副詞,一般,*,*,*,*,するする,スルスル,スルスル,,６,,5,44
と,助詞,格助詞,一般,*,*,*,と,ト,ト,,６,,5,44
のぼっ,動詞,自立,*,*,五段・ラ行,連用タ接続,のぼる,ノボッ,ノボッ,,６,,5,44
て,助詞,接続助詞,*,*,*,*,て,テ,テ,,６,,5,44
いき,動詞,非自立,*,*,五段・カ行促音便,連用形,いく,イキ,イキ,,６,,5,44
まし,助動詞,*,*,*,特殊・マス,連用形,ます,マシ,マシ,,６,,5,44
た,助動詞,*,*,*,特殊・タ,基本形,た,タ,タ,,６,,5,44
。,記号,句点,*,*,*,*,。,。,。,,６,,5,44
そして,接続詞,*,*,*,*,*,そして,ソシテ,ソシテ,,６,,5,45
、,記号,読点,*,*,*,*,、,、,、,,６,,5,45
下,名詞,一般,*,*,*,*,下,シタ,シタ,,６,,5,45
の,助詞,連体化,*,*,*,*,の,ノ,ノ,,６,,5,45
えだ,名詞,固有名詞,一般,*,*,*,えだ,エダ,エダ,,６,,5,45
まで,助詞,副助詞,*,*,*,*,まで,マデ,マデ,,６,,5,45
のぼり,動詞,自立,*,*,五段・ラ行,連用形,のぼる,ノボリ,ノボリ,,６,,5,45
つけ,動詞,非自立,*,*,一段,連用形,つける,ツケ,ツケ,,６,,5,45
ば,助詞,接続助詞,*,*,*,*,ば,バ,バ,,６,,5,45
、,記号,読点,*,*,*,*,、,、,、,,６,,5,45
あと,名詞,一般,*,*,*,*,あと,アト,アト,,６,,5,45
は,助詞,係助詞,*,*,*,*,は,ハ,ワ,,６,,5,45
、,記号,読点,*,*,*,*,、,、,、,,６,,5,45
えだ,名詞,固有名詞,一般,*,*,*,えだ,エダ,エダ,,６,,5,45
から,助詞,格助詞,一般,*,*,*,から,カラ,カラ,,６,,5,45
えだ,名詞,固有名詞,一般,*,*,*,えだ,エダ,エダ,,６,,5,45
へ,助詞,格助詞,一般,*,*,*,へ,ヘ,エ,,６,,5,45
と,助詞,格助詞,引用,*,*,*,と,ト,ト,,６,,5,45
つたっ,動詞,自立,*,*,五段・ワ行促音便,連用タ接続,つたう,ツタッ,ツタッ,,６,,5,45
て,助詞,接続助詞,*,*,*,*,て,テ,テ,,６,,5,45
いけ,動詞,非自立,*,*,五段・カ行促音便,仮定形,いく,イケ,イケ,,６,,5,45
ば,助詞,接続助詞,*,*,*,*,ば,バ,バ,,６,,5,45
いい,形容詞,自立,*,*,形容詞・イイ,基本形,いい,イイ,イイ,,６,,5,45
の,名詞,非自立,一般,*,*,*,の,ノ,ノ,,６,,5,45
