表層形,品詞,品詞細分類(1),品詞細分類(2),品詞細分類(3),活用型,活用形,原形,読み,発音,大見出し,中見出し,小見出し,見出し番号,文番号
一家,名詞,一般,*,*,*,*,一家,イッカ,イッカ,,（上）顕れたる事実,,0,229
さえ,助詞,係助詞,*,*,*,*,さえ,サエ,サエ,,（上）顕れたる事実,,0,229
安全,名詞,形容動詞語幹,*,*,*,*,安全,アンゼン,アンゼン,,（上）顕れたる事実,,0,229
なら,助動詞,*,*,*,特殊・ダ,仮定形,だ,ナラ,ナラ,,（上）顕れたる事実,,0,229
、,記号,読点,*,*,*,*,、,、,、,,（上）顕れたる事実,,0,229
賊,名詞,一般,*,*,*,*,賊,ゾク,ゾク,,（上）顕れたる事実,,0,229
が,助詞,格助詞,一般,*,*,*,が,ガ,ガ,,（上）顕れたる事実,,0,229
逮捕,名詞,サ変接続,*,*,*,*,逮捕,タイホ,タイホ,,（上）顕れたる事実,,0,229
さ,動詞,自立,*,*,サ変・スル,未然レル接続,する,サ,サ,,（上）顕れたる事実,,0,229
れよ,動詞,接尾,*,*,一段,未然ウ接続,れる,レヨ,レヨ,,（上）顕れたる事実,,0,229
う,助動詞,*,*,*,不変化型,基本形,う,ウ,ウ,,（上）顕れたる事実,,0,229
と,助詞,格助詞,引用,*,*,*,と,ト,ト,,（上）顕れたる事実,,0,229
さ,動詞,自立,*,*,サ変・スル,未然レル接続,する,サ,サ,,（上）顕れたる事実,,0,229
れ,動詞,接尾,*,*,一段,未然形,れる,レ,レ,,（上）顕れたる事実,,0,229
まい,助動詞,*,*,*,不変化型,基本形,まい,マイ,マイ,,（上）顕れたる事実,,0,229
と,助詞,格助詞,引用,*,*,*,と,ト,ト,,（上）顕れたる事実,,0,229
、,記号,読点,*,*,*,*,、,、,、,,（上）顕れたる事実,,0,229
そんな,連体詞,*,*,*,*,*,そんな,ソンナ,ソンナ,,（上）顕れたる事実,,0,229
こと,名詞,非自立,一般,*,*,*,こと,コト,コト,,（上）顕れたる事実,,0,229
は,助詞,係助詞,*,*,*,*,は,ハ,ワ,,（上）顕れたる事実,,0,229
問題,名詞,ナイ形容詞語幹,*,*,*,*,問題,モンダイ,モンダイ,,（上）顕れたる事実,,0,229
で,助詞,格助詞,一般,*,*,*,で,デ,デ,,（上）顕れたる事実,,0,229
は,助詞,係助詞,*,*,*,*,は,ハ,ワ,,（上）顕れたる事実,,0,229
ない,形容詞,自立,*,*,形容詞・アウオ段,基本形,ない,ナイ,ナイ,,（上）顕れたる事実,,0,229
の,名詞,非自立,一般,*,*,*,の,ノ,ノ,,（上）顕れたる事実,,0,229
です,助動詞,*,*,*,特殊・デス,基本形,です,デス,デス,,（上）顕れたる事実,,0,229
から,助詞,接続助詞,*,*,*,*,から,カラ,カラ,,（上）顕れたる事実,,0,229
、,記号,読点,*,*,*,*,、,、,、,,（上）顕れたる事実,,0,229
ただ,接続詞,*,*,*,*,*,ただ,タダ,タダ,,（上）顕れたる事実,,0,229
もう,副詞,一般,*,*,*,*,もう,モウ,モー,,（上）顕れたる事実,,0,229
明智,名詞,一般,*,*,*,*,明智,メイチ,メイチ,,（上）顕れたる事実,,0,229
へ,助詞,格助詞,一般,*,*,*,へ,ヘ,エ,,（上）顕れたる事実,,0,229
の,助詞,連体化,*,*,*,*,の,ノ,ノ,,（上）顕れたる事実,,0,229
礼,名詞,一般,*,*,*,*,礼,レイ,レイ,,（上）顕れたる事実,,0,229
心,名詞,接尾,一般,*,*,*,心,シン,シン,,（上）顕れたる事実,,0,229
で,助詞,格助詞,一般,*,*,*,で,デ,デ,,（上）顕れたる事実,,0,229
、,記号,読点,*,*,*,*,、,、,、,,（上）顕れたる事実,,0,229
賑,名詞,一般,*,*,*,*,賑,ニギワイ,ニギワイ,,（上）顕れたる事実,,0,229
かな,名詞,一般,*,*,*,*,かな,カナ,カナ,,（上）顕れたる事実,,0,229
杯,名詞,接尾,一般,*,*,*,杯,ハイ,ハイ,,（上）顕れたる事実,,0,229
の,助詞,連体化,*,*,*,*,の,ノ,ノ,,（上）顕れたる事実,,0,229
献酬,名詞,サ変接続,*,*,*,*,献酬,ケンシュウ,ケンシュー,,（上）顕れたる事実,,0,229
が,助詞,格助詞,一般,*,*,*,が,ガ,ガ,,（上）顕れたる事実,,0,229
始め,動詞,自立,*,*,一段,未然形,始める,ハジメ,ハジメ,,（上）顕れたる事実,,0,229
られ,動詞,接尾,*,*,一段,連用形,られる,ラレ,ラレ,,（上）顕れたる事実,,0,229
まし,助動詞,*,*,*,特殊・マス,連用形,ます,マシ,マシ,,（上）顕れたる事実,,0,229
た,助動詞,*,*,*,特殊・タ,基本形,た,タ,タ,,（上）顕れたる事実,,0,229
。,記号,句点,*,*,*,*,。,。,。,,（上）顕れたる事実,,0,229
余り,名詞,一般,*,*,*,*,余り,アマリ,アマリ,,（上）顕れたる事実,,0,230
酒,名詞,接尾,一般,*,*,*,酒,シュ,シュ,,（上）顕れたる事実,,0,230
の,助詞,格助詞,一般,*,*,*,の,ノ,ノ,,（上）顕れたる事実,,0,230
いけ,動詞,自立,*,*,一段,未然形,いける,イケ,イケ,,（上）顕れたる事実,,0,230
ぬ,助動詞,*,*,*,特殊・ヌ,基本形,ぬ,ヌ,ヌ,,（上）顕れたる事実,,0,230
明智,名詞,一般,*,*,*,*,明智,メイチ,メイチ,,（上）顕れたる事実,,0,230
は,助詞,係助詞,*,*,*,*,は,ハ,ワ,,（上）顕れたる事実,,0,230
じき,名詞,副詞可能,*,*,*,*,じき,ジキ,ジキ,,（上）顕れたる事実,,0,230
に,助詞,格助詞,一般,*,*,*,に,ニ,ニ,,（上）顕れたる事実,,0,230
真赤,名詞,一般,*,*,*,*,真赤,マッカ,マッカ,,（上）顕れたる事実,,0,230
に,助詞,格助詞,一般,*,*,*,に,ニ,ニ,,（上）顕れたる事実,,0,230
なっ,動詞,自立,*,*,五段・ラ行,連用タ接続,なる,ナッ,ナッ,,（上）顕れたる事実,,0,230
て,助詞,接続助詞,*,*,*,*,て,テ,テ,,（上）顕れたる事実,,0,230
了,名詞,固有名詞,人名,名,*,*,了,リョウ,リョー,,（上）顕れたる事実,,0,230
って,助詞,格助詞,連語,*,*,*,って,ッテ,ッテ,,（上）顕れたる事実,,0,230
、,記号,読点,*,*,*,*,、,、,、,,（上）顕れたる事実,,0,230
いつも,副詞,一般,*,*,*,*,いつも,イツモ,イツモ,,（上）顕れたる事実,,0,230
の,助詞,連体化,*,*,*,*,の,ノ,ノ,,（上）顕れたる事実,,0,230
ニコニコ,名詞,サ変接続,*,*,*,*,ニコニコ,ニコニコ,ニコニコ,,（上）顕れたる事実,,0,230
顔,名詞,接尾,一般,*,*,*,顔,ガオ,ガオ,,（上）顕れたる事実,,0,230
を,助詞,格助詞,一般,*,*,*,を,ヲ,ヲ,,（上）顕れたる事実,,0,230
