表層形,品詞,品詞細分類(1),品詞細分類(2),品詞細分類(3),活用型,活用形,原形,読み,発音,カテゴリー,章番号,文番号
よっぱらい,動詞,自立,*,*,五段・ワ行促音便,連用形,よっぱらう,ヨッパライ,ヨッパライ,歯車の音,0,9
か,助詞,副助詞／並立助詞／終助詞,*,*,*,*,か,カ,カ,歯車の音,0,9
な,助詞,終助詞,*,*,*,*,な,ナ,ナ,歯車の音,0,9
。,記号,句点,*,*,*,*,。,。,。,歯車の音,0,9
」,記号,括弧閉,*,*,*,*,」,」,」,歯車の音,0,10
警官,名詞,一般,*,*,*,*,警官,ケイカン,ケイカン,歯車の音,0,10
が,助詞,格助詞,一般,*,*,*,が,ガ,ガ,歯車の音,0,10
思わず,副詞,助詞類接続,*,*,*,*,思わず,オモワズ,オモワズ,歯車の音,0,10
ひとり,名詞,一般,*,*,*,*,ひとり,ヒトリ,ヒトリ,歯車の音,0,10
ごと,名詞,接尾,一般,*,*,*,ごと,ゴト,ゴト,歯車の音,0,10
を,助詞,格助詞,一般,*,*,*,を,ヲ,ヲ,歯車の音,0,10
つぶやき,動詞,自立,*,*,五段・カ行イ音便,連用形,つぶやく,ツブヤキ,ツブヤキ,歯車の音,0,10
まし,助動詞,*,*,*,特殊・マス,連用形,ます,マシ,マシ,歯車の音,0,10
た,助動詞,*,*,*,特殊・タ,基本形,た,タ,タ,歯車の音,0,10
。,記号,句点,*,*,*,*,。,。,。,歯車の音,0,10
キラキラ,副詞,助詞類接続,*,*,*,*,キラキラ,キラキラ,キラキラ,歯車の音,0,11
光っ,動詞,自立,*,*,五段・ラ行,連用タ接続,光る,ヒカッ,ヒカッ,歯車の音,0,11
た,助動詞,*,*,*,特殊・タ,基本形,た,タ,タ,歯車の音,0,11
電車,名詞,一般,*,*,*,*,電車,デンシャ,デンシャ,歯車の音,0,11
の,助詞,連体化,*,*,*,*,の,ノ,ノ,歯車の音,0,11
レール,名詞,一般,*,*,*,*,レール,レール,レール,歯車の音,0,11
の,助詞,連体化,*,*,*,*,の,ノ,ノ,歯車の音,0,11
まんま,名詞,非自立,副詞可能,*,*,*,まんま,マンマ,マンマ,歯車の音,0,11
ん,助詞,特殊,*,*,*,*,ん,ン,ン,歯車の音,0,11
中,名詞,一般,*,*,*,*,中,ナカ,ナカ,歯車の音,0,11
を,助詞,格助詞,一般,*,*,*,を,ヲ,ヲ,歯車の音,0,11
、,記号,読点,*,*,*,*,、,、,、,歯車の音,0,11
ひとり,名詞,一般,*,*,*,*,ひとり,ヒトリ,ヒトリ,歯車の音,0,11
の,助詞,連体化,*,*,*,*,の,ノ,ノ,歯車の音,0,11
男,名詞,一般,*,*,*,*,男,オトコ,オトコ,歯車の音,0,11
が,助詞,格助詞,一般,*,*,*,が,ガ,ガ,歯車の音,0,11
歩い,動詞,自立,*,*,五段・カ行イ音便,連用タ接続,歩く,アルイ,アルイ,歯車の音,0,11
て,助詞,接続助詞,*,*,*,*,て,テ,テ,歯車の音,0,11
くる,動詞,非自立,*,*,カ変・クル,基本形,くる,クル,クル,歯車の音,0,11
の,名詞,非自立,一般,*,*,*,の,ノ,ノ,歯車の音,0,11
です,助動詞,*,*,*,特殊・デス,基本形,です,デス,デス,歯車の音,0,11
。,記号,句点,*,*,*,*,。,。,。,歯車の音,0,11
青い,形容詞,自立,*,*,形容詞・アウオ段,基本形,青い,アオイ,アオイ,歯車の音,0,12
色,名詞,一般,*,*,*,*,色,イロ,イロ,歯車の音,0,12
の,助詞,連体化,*,*,*,*,の,ノ,ノ,歯車の音,0,12
背広,名詞,一般,*,*,*,*,背広,セビロ,セビロ,歯車の音,0,12
に,助詞,格助詞,一般,*,*,*,に,ニ,ニ,歯車の音,0,12
、,記号,読点,*,*,*,*,、,、,、,歯車の音,0,12
青い,形容詞,自立,*,*,形容詞・アウオ段,基本形,青い,アオイ,アオイ,歯車の音,0,12
