表層形,品詞,品詞細分類(1),品詞細分類(2),品詞細分類(3),活用型,活用形,原形,読み,発音,大見出し,中見出し,小見出し,見出し番号,文番号
た,助動詞,*,*,*,特殊・タ,基本形,た,タ,タ,,,,0,182
。,記号,句点,*,*,*,*,。,。,。,,,,0,182
「,記号,括弧開,*,*,*,*,「,「,「,,,,0,183
なる程,副詞,一般,*,*,*,*,なる程,ナルホド,ナルホド,,,,0,183
、,記号,読点,*,*,*,*,、,、,、,,,,0,183
私,名詞,代名詞,一般,*,*,*,私,ワタシ,ワタシ,,,,0,183
とても,副詞,助詞類接続,*,*,*,*,とても,トテモ,トテモ,,,,0,183
最初,名詞,一般,*,*,*,*,最初,サイショ,サイショ,,,,0,183
の,助詞,連体化,*,*,*,*,の,ノ,ノ,,,,0,183
発作,名詞,一般,*,*,*,*,発作,ホッサ,ホッサ,,,,0,183
の,助詞,連体化,*,*,*,*,の,ノ,ノ,,,,0,183
時,名詞,非自立,副詞可能,*,*,*,時,トキ,トキ,,,,0,183
に,助詞,格助詞,一般,*,*,*,に,ニ,ニ,,,,0,183
は,助詞,係助詞,*,*,*,*,は,ハ,ワ,,,,0,183
そんな,連体詞,*,*,*,*,*,そんな,ソンナ,ソンナ,,,,0,183
風,名詞,一般,*,*,*,*,風,カゼ,カゼ,,,,0,183
に,助詞,格助詞,一般,*,*,*,に,ニ,ニ,,,,0,183
疑っ,動詞,自立,*,*,五段・ワ行促音便,連用タ接続,疑う,ウタガッ,ウタガッ,,,,0,183
て,助詞,接続助詞,*,*,*,*,て,テ,テ,,,,0,183
も,助詞,係助詞,*,*,*,*,も,モ,モ,,,,0,183
見,動詞,自立,*,*,一段,連用形,見る,ミ,ミ,,,,0,183
まし,助動詞,*,*,*,特殊・マス,連用形,ます,マシ,マシ,,,,0,183
た,助動詞,*,*,*,特殊・タ,基本形,た,タ,タ,,,,0,183
。,記号,句点,*,*,*,*,。,。,。,,,,0,183
そして,接続詞,*,*,*,*,*,そして,ソシテ,ソシテ,,,,0,184
、,記号,読点,*,*,*,*,、,、,、,,,,0,184
これ,名詞,代名詞,一般,*,*,*,これ,コレ,コレ,,,,0,184
が,助詞,格助詞,一般,*,*,*,が,ガ,ガ,,,,0,184
